sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: collegial, hospitable, cold-blooded, antiseptic, friendly, uncordial, loving, arctic, merry, heartless, icy, unsympathetic, neighborly, glacial, frigid, sweet, hearty, uninterested, pitiless, unfriendly, warm, warmhearted, unresponsive, cordial, cold, affectionate, amicable, gelid, brittle, chilly, nice, uncaring, coldish, genial, comradely, hard-eyed, gracious, approachable, chummy, companionable. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","collegial, B  
hospitable, B  
cold-blooded, A  
antiseptic, A  
friendly, B  
uncordial, A  
loving, B  
arctic, A  
merry, B  
heartless, A  
icy, A  
unsympathetic, A  
neighborly, B  
glacial, A  
frigid, A  
sweet, B  
hearty, B  
uninterested, A  
pitiless, A  
unfriendly, A  
warm, B  
warmhearted, B  
unresponsive, A  
cordial, B  
cold, A  
affectionate, B  
amicable, B  
gelid, A  
brittle, A  
chilly, A  
nice, B  
uncaring, A  
coldish, A  
genial, B  
comradely, B  
hard-eyed, A  
gracious, B  
approachable, B  
chummy, B  
companionable, B",01/28/26
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: companionable, gelid, genial, arctic, uncordial, approachable, hard-eyed, uninterested, nice, collegial, glacial, cold-blooded, sweet, loving, warmhearted, brittle, antiseptic, uncaring, heartless, frigid, friendly, chilly, merry, cordial, warm, icy, amicable, gracious, hearty, comradely, hospitable, chummy, unsympathetic, cold, pitiless, affectionate, neighborly, unfriendly, coldish, unresponsive. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","companionable, B  
gelid, A  
genial, B  
arctic, A  
uncordial, A  
approachable, B  
hard-eyed, A  
uninterested, A  
nice, B  
collegial, B  
glacial, A  
cold-blooded, A  
sweet, B  
loving, B  
warmhearted, B  
brittle, A  
antiseptic, A  
uncaring, A  
heartless, A  
frigid, A  
friendly, B  
chilly, A  
merry, B  
cordial, B  
warm, B  
icy, A  
amicable, B  
gracious, B  
hearty, B  
comradely, B  
hospitable, B  
chummy, B  
unsympathetic, A  
cold, A  
pitiless, A  
affectionate, B  
neighborly, B  
unfriendly, A  
coldish, A  
unresponsive, A",01/28/26
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: antiseptic, cold, collegial, coldish, loving, unsympathetic, unfriendly, approachable, genial, affectionate, cold-blooded, warm, glacial, hard-eyed, amicable, comradely, frigid, icy, friendly, gracious, sweet, unresponsive, nice, companionable, chummy, gelid, neighborly, hearty, uncordial, warmhearted, uncaring, uninterested, brittle, arctic, merry, chilly, pitiless, cordial, heartless, hospitable. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","antiseptic, B  
cold, A  
collegial, B  
coldish, A  
loving, B  
unsympathetic, A  
unfriendly, A  
approachable, B  
genial, B  
affectionate, B  
cold-blooded, A  
warm, B  
glacial, A  
hard-eyed, A  
amicable, B  
comradely, B  
frigid, A  
icy, A  
friendly, B  
gracious, B  
sweet, B  
unresponsive, A  
nice, B  
companionable, B  
chummy, B  
gelid, A  
neighborly, B  
hearty, B  
uncordial, A  
warmhearted, B  
uncaring, A  
uninterested, A  
brittle, A  
arctic, A  
merry, B  
chilly, A  
pitiless, A  
cordial, B  
heartless, A  
hospitable, B",01/28/26
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: chilly, chummy, uninterested, uncaring, companionable, neighborly, pitiless, cordial, nice, unresponsive, unsympathetic, heartless, sweet, brittle, collegial, coldish, friendly, hard-eyed, comradely, approachable, merry, warm, hospitable, affectionate, arctic, cold-blooded, amicable, glacial, gelid, loving, gracious, unfriendly, uncordial, icy, antiseptic, warmhearted, genial, hearty, cold, frigid. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","chilly, B  
chummy, B  
uninterested, A  
uncaring, A  
companionable, B  
neighborly, B  
pitiless, A  
cordial, B  
nice, B  
unresponsive, A  
unsympathetic, A  
heartless, A  
sweet, B  
brittle, A  
collegial, B  
coldish, A  
friendly, B  
hard-eyed, A  
comradely, B  
approachable, B  
merry, B  
warm, B  
hospitable, B  
affectionate, B  
arctic, A  
cold-blooded, A  
amicable, B  
glacial, A  
gelid, A  
loving, B  
gracious, B  
unfriendly, A  
uncordial, A  
icy, A  
antiseptic, A  
warmhearted, B  
genial, B  
hearty, B  
cold, A  
frigid, A",01/28/26
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: warmhearted, antiseptic, gracious, icy, coldish, warm, gelid, companionable, brittle, neighborly, hard-eyed, uninterested, pitiless, comradely, frigid, merry, cold, nice, collegial, genial, cordial, uncordial, sweet, glacial, approachable, amicable, unresponsive, affectionate, uncaring, chummy, hearty, arctic, hospitable, friendly, unfriendly, loving, heartless, chilly, cold-blooded, unsympathetic. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","warmhearted, B  
antiseptic, A  
gracious, B  
icy, A  
coldish, A  
warm, B  
gelid, A  
companionable, B  
brittle, A  
neighborly, B  
hard-eyed, A  
uninterested, A  
pitiless, A  
comradely, B  
frigid, A  
merry, B  
cold, A  
nice, B  
collegial, B  
genial, B  
cordial, B  
uncordial, A  
sweet, B  
glacial, A  
approachable, B  
amicable, B  
unresponsive, A  
affectionate, B  
uncaring, A  
chummy, B  
hearty, B  
arctic, A  
hospitable, B  
friendly, B  
unfriendly, A  
loving, B  
heartless, A  
chilly, A  
cold-blooded, A  
unsympathetic, A",01/28/26
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: unresponsive, companionable, brittle, chilly, uninterested, comradely, glacial, affectionate, friendly, uncaring, heartless, hearty, amicable, collegial, cold-blooded, pitiless, loving, hard-eyed, genial, antiseptic, sweet, warmhearted, coldish, neighborly, unfriendly, chummy, approachable, unsympathetic, frigid, arctic, warm, gelid, nice, gracious, cordial, merry, icy, hospitable, uncordial, cold. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","unresponsive, B  
companionable, A  
brittle, B  
chilly, B  
uninterested, B  
comradely, A  
glacial, B  
affectionate, A  
friendly, A  
uncaring, B  
heartless, B  
hearty, A  
amicable, A  
collegial, A  
cold-blooded, B  
pitiless, B  
loving, A  
hard-eyed, B  
genial, A  
antiseptic, B  
sweet, A  
warmhearted, A  
coldish, B  
neighborly, A  
unfriendly, B  
chummy, A  
approachable, A  
unsympathetic, B  
frigid, B  
arctic, B  
warm, A  
gelid, B  
nice, A  
gracious, A  
cordial, A  
merry, A  
icy, B  
hospitable, A  
uncordial, B  
cold, B",01/28/26
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: pitiless, antiseptic, frigid, warm, coldish, companionable, uninterested, icy, uncaring, hospitable, warmhearted, gracious, unresponsive, amicable, approachable, nice, loving, chilly, friendly, gelid, heartless, arctic, glacial, hard-eyed, sweet, hearty, affectionate, cordial, comradely, unfriendly, cold-blooded, cold, unsympathetic, brittle, chummy, collegial, neighborly, uncordial, genial, merry. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","pitiless, B, antiseptic, B, frigid, B, warm, A, coldish, B, companionable, A, uninterested, B, icy, B, uncaring, B, hospitable, A, warmhearted, A, gracious, A, unresponsive, B, amicable, A, approachable, A, nice, A, loving, A, chilly, B, friendly, A, gelid, B, heartless, B, arctic, B, glacial, B, hard-eyed, B, sweet, A, hearty, A, affectionate, A, cordial, A, comradely, A, unfriendly, B, cold-blooded, B, cold, B, unsympathetic, B, brittle, B, chummy, A, collegial, A, neighborly, A, uncordial, B, genial, A, merry, A.",01/28/26
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: companionable, amicable, neighborly, cordial, unresponsive, genial, loving, glacial, hearty, uncaring, warm, hospitable, brittle, collegial, approachable, uninterested, merry, nice, frigid, hard-eyed, cold-blooded, gracious, unfriendly, icy, unsympathetic, gelid, uncordial, friendly, chilly, comradely, cold, sweet, arctic, coldish, chummy, affectionate, antiseptic, warmhearted, heartless, pitiless. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","companionable, B  
amicable, B  
neighborly, B  
cordial, B  
unresponsive, A  
genial, B  
loving, B  
glacial, A  
hearty, B  
uncaring, A  
warm, B  
hospitable, B  
brittle, A  
collegial, B  
approachable, B  
uninterested, A  
merry, B  
nice, B  
frigid, A  
hard-eyed, A  
cold-blooded, A  
gracious, B  
unfriendly, A  
icy, A  
unsympathetic, A  
gelid, A  
uncordial, A  
friendly, B  
chilly, A  
comradely, B  
cold, A  
sweet, B  
arctic, A  
coldish, A  
chummy, B  
affectionate, B  
antiseptic, A  
warmhearted, B  
heartless, A  
pitiless, A",01/28/26
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cold-blooded, warm, frigid, collegial, coldish, friendly, uncaring, brittle, unsympathetic, unresponsive, companionable, warmhearted, merry, loving, antiseptic, unfriendly, icy, cold, sweet, neighborly, gracious, glacial, hearty, uninterested, chilly, cordial, arctic, chummy, uncordial, nice, hospitable, pitiless, approachable, genial, amicable, gelid, heartless, comradely, hard-eyed, affectionate. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","cold-blooded, B,  
warm, B,  
frigid, B,  
collegial, B,  
coldish, B,  
friendly, B,  
uncaring, B,  
brittle, B,  
unsympathetic, B,  
unresponsive, B,  
companionable, B,  
warmhearted, B,  
merry, B,  
loving, B,  
antiseptic, B,  
unfriendly, B,  
icy, B,  
cold, B,  
sweet, B,  
neighborly, B,  
gracious, B,  
glacial, B,  
hearty, B,  
uninterested, B,  
chilly, B,  
cordial, B,  
arctic, B,  
chummy, B,  
uncordial, B,  
nice, B,  
hospitable, B,  
pitiless, B,  
approachable, B,  
genial, B,  
amicable, B,  
gelid, B,  
heartless, B,  
comradely, B,  
hard-eyed, B,  
affectionate, B.",01/28/26
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: unresponsive, cordial, gelid, sweet, chilly, approachable, brittle, hearty, glacial, uncaring, genial, warm, icy, uninterested, loving, coldish, cold-blooded, comradely, chummy, antiseptic, affectionate, companionable, hard-eyed, unfriendly, merry, friendly, nice, hospitable, amicable, heartless, warmhearted, collegial, cold, neighborly, pitiless, unsympathetic, gracious, uncordial, arctic, frigid. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","unresponsive, B  
cordial, A  
gelid, B  
sweet, A  
chilly, B  
approachable, A  
brittle, B  
hearty, A  
glacial, B  
uncaring, B  
genial, A  
warm, A  
icy, B  
uninterested, B  
loving, A  
coldish, B  
cold-blooded, B  
comradely, A  
chummy, A  
antiseptic, B  
affectionate, A  
companionable, A  
hard-eyed, B  
unfriendly, B  
merry, A  
friendly, A  
nice, A  
hospitable, A  
amicable, A  
heartless, B  
warmhearted, A  
collegial, A  
cold, B  
neighborly, A  
pitiless, B  
unsympathetic, B  
gracious, A  
uncordial, B  
arctic, B  
frigid, B",01/28/26
