sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cauteloso, reservado, tímido, pasional, cerrado, cohibido, abierto, guardado, extrovertido, esquivo, acelerado, solitario, efusivo, adusto, insociable, huidizo, apasionado, expresivo, elocuente, caluroso, conversador, huraño, misántropo, introverso, sencillo, sociable, introvertido, corto, extravertido, tratable, ardiente, intenso, discreto, retraído, vehemente, comunicativo, vergonzoso, expansivo, cauto, locauz. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","cauteloso, A  
reservado, B  
tímido, B  
pasional, A  
cerrado, B  
cohibido, B  
abierto, A  
guardado, B  
extrovertido, A  
esquivo, B  
acelerado, A  
solitario, B  
efusivo, A  
adusto, B  
insociable, B  
huidizo, B  
apasionado, A  
expresivo, A  
elocuente, A  
caluroso, A  
conversador, A  
huraño, B  
misántropo, B  
introverso, B  
sencillo, A  
sociable, A  
introvertido, B  
corto, B  
extravertido, A  
tratable, A  
ardiente, A  
intenso, A  
discreto, B  
retraído, B  
vehemente, A  
comunicativo, A  
vergonzoso, B  
expansivo, A  
cauto, A  
locauz, A",01/25/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: locauz, introverso, abierto, huraño, pasional, efusivo, solitario, expansivo, retraído, esquivo, tratable, insociable, expresivo, extravertido, discreto, cauto, conversador, comunicativo, intenso, sociable, sencillo, extrovertido, misántropo, ardiente, introvertido, cohibido, caluroso, corto, acelerado, vergonzoso, elocuente, apasionado, adusto, cerrado, cauteloso, reservado, guardado, tímido, vehemente, huidizo. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Locauz, B  
Introverso, A  
Abierto, B  
Huraño, A  
Pasional, B  
Efusivo, B  
Solitario, A  
Expansivo, B  
Retraído, A  
Esquivo, A  
Tratable, B  
Insociable, A  
Expresivo, B  
Extravertido, B  
Discreto, A  
Cauto, A  
Conversador, B  
Comunicativo, B  
Intenso, B  
Sociable, B  
Sencillo, A  
Extrovertido, B  
Misántropo, A  
Ardiente, B  
Introvertido, A  
Cobido, A  
Caluroso, B  
Corto, A  
Acelerado, A  
Vergonzoso, A  
Elocuente, B  
Apasionado, B  
Adusto, A  
Cerrado, A  
Cauteloso, A  
Reservado, A  
Guardado, A  
Timido, A  
Vehemente, B  
Huidizo, A",01/25/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sociable, elocuente, caluroso, introverso, efusivo, expansivo, corto, comunicativo, huidizo, acelerado, solitario, insociable, misántropo, adusto, retraído, sencillo, tratable, discreto, cohibido, intenso, cauteloso, cauto, introvertido, ardiente, esquivo, guardado, extrovertido, reservado, apasionado, abierto, vehemente, cerrado, expresivo, huraño, tímido, pasional, conversador, extravertido, locauz, vergonzoso. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","sociable, B  
elocuente, A  
caluroso, B  
introverso, B  
efusivo, A  
expansivo, A  
corto, B  
comunicativo, A  
huidizo, B  
acelerado, A  
solitario, B  
insociable, B  
misántropo, B  
adusto, B  
retraído, B  
sencillo, A  
tratable, A  
discreto, A  
cohibido, B  
intenso, A  
cauteloso, B  
cauto, B  
introvertido, B  
ardiente, A  
esquivo, B  
guardado, B  
extrovertido, A  
reservado, B  
apasionado, A  
abierto, A  
vehemente, A  
cerrado, B  
expresivo, A  
huraño, B  
tímido, B  
pasional, A  
conversador, A  
extravertido, A  
locauz, A  
vergonzoso, B",01/25/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: extrovertido, adusto, ardiente, sociable, esquivo, guardado, expansivo, apasionado, tratable, reservado, vehemente, acelerado, pasional, conversador, huidizo, solitario, huraño, discreto, tímido, cauteloso, insociable, expresivo, extravertido, introvertido, intenso, retraído, comunicativo, locauz, caluroso, cauto, sencillo, introverso, abierto, cerrado, efusivo, misántropo, elocuente, corto, cohibido, vergonzoso. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","extrovertido, B  
adusto, A  
ardiente, B  
sociable, B  
esquivo, A  
guardado, A  
expansivo, B  
apasionado, B  
tratable, A  
reservado, A  
vehemente, B  
acelerado, A  
pasional, B  
conversador, B  
huidizo, A  
solitario, A  
huraño, A  
discreto, A  
tímido, A  
cauteloso, A  
insociable, A  
expresivo, B  
extravertido, B  
introvertido, A  
intenso, B  
retraído, A  
comunicativo, B  
locauz, A  
caluroso, B  
cauto, A  
sencillo, A  
introverso, A  
abierto, B  
cerrado, A  
efusivo, B  
misántropo, A  
elocuente, B  
corto, A  
cohibido, A  
vergonzoso, A",01/25/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: huraño, apasionado, pasional, esquivo, locauz, caluroso, elocuente, retraído, huidizo, adusto, extravertido, sociable, misántropo, comunicativo, expansivo, intenso, corto, cohibido, tratable, abierto, conversador, sencillo, vergonzoso, expresivo, guardado, solitario, insociable, acelerado, introvertido, efusivo, vehemente, extrovertido, tímido, cauteloso, cerrado, cauto, introverso, discreto, reservado, ardiente. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","huraño, B  
apasionado, A  
pasional, A  
esquivo, B  
locauz, B  
caluroso, A  
elocuente, A  
retraído, B  
huidizo, B  
adusto, B  
extravertido, A  
sociable, A  
misántropo, B  
comunicativo, A  
expansivo, A  
intenso, A  
corto, B  
cohibido, B  
tratable, A  
abierto, A  
conversador, A  
sencillo, A  
vergonzoso, B  
expresivo, A  
guardado, B  
solitario, B  
insociable, B  
acelerado, B  
introvertido, B  
efusivo, A  
vehemente, A  
extrovertido, A  
tímido, B  
cauteloso, B  
cerrado, B  
cauto, B  
introverso, B  
discreto, B  
reservado, B  
ardiente, A",01/25/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: expresivo, abierto, cerrado, ardiente, huidizo, efusivo, extrovertido, locauz, cohibido, reservado, misántropo, cauteloso, discreto, adusto, huraño, comunicativo, sencillo, esquivo, caluroso, cauto, acelerado, sociable, conversador, introvertido, tratable, intenso, tímido, introverso, apasionado, guardado, insociable, elocuente, expansivo, extravertido, vehemente, retraído, pasional, vergonzoso, solitario, corto. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","expresivo, A  
abierto, B  
cerrado, B  
ardiente, A  
huidizo, B  
efusivo, A  
extrovertido, A  
locauz, B  
cohibido, B  
reservado, B  
misántropo, B  
cauteloso, B  
discreto, B  
adusto, B  
huraño, B  
comunicativo, A  
sencillo, B  
esquivo, B  
caluroso, A  
cauto, B  
acelerado, B  
sociable, A  
conversador, A  
introvertido, B  
tratable, B  
intenso, A  
tímido, B  
introverso, B  
apasionado, A  
guardado, B  
insociable, B  
elocuente, A  
expansivo, A  
extravertido, A  
vehemente, A  
retraído, B  
pasional, A  
vergonzoso, B  
solitario, B  
corto, B",01/25/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: retraído, elocuente, cohibido, expansivo, huraño, reservado, esquivo, locauz, abierto, adusto, cerrado, cauteloso, introvertido, expresivo, solitario, corto, comunicativo, misántropo, insociable, extrovertido, sencillo, tratable, sociable, tímido, extravertido, intenso, pasional, guardado, vergonzoso, caluroso, ardiente, discreto, apasionado, huidizo, cauto, introverso, conversador, efusivo, vehemente, acelerado. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","retraído, B  
elocuente, A  
cohibido, B  
expansivo, A  
huraño, B  
reservado, B  
esquivo, B  
locauz, A  
abierto, A  
adusto, B  
cerrado, B  
cauteloso, B  
introvertido, B  
expresivo, A  
solitario, B  
corto, B  
comunicativo, A  
misántropo, B  
insociable, B  
extrovertido, A  
sencillo, A  
tratable, A  
sociable, A  
tímido, B  
extravertido, A  
intenso, A  
pasional, A  
guardado, B  
vergonzoso, B  
caluroso, A  
ardiente, A  
discreto, B  
apasionado, A  
huidizo, B  
cauto, B  
introverso, B  
conversador, A  
efusivo, A  
vehemente, A  
acelerado, A",01/25/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: insociable, introvertido, elocuente, expansivo, tímido, reservado, pasional, solitario, tratable, extravertido, discreto, vergonzoso, apasionado, misántropo, expresivo, adusto, sociable, efusivo, corto, huidizo, vehemente, cerrado, caluroso, cohibido, cauteloso, sencillo, cauto, abierto, intenso, huraño, acelerado, retraído, comunicativo, introverso, ardiente, conversador, locauz, extrovertido, esquivo, guardado. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","insociable, B  
introvertido, B  
elocuente, A  
expansivo, A  
tímido, B  
reservado, B  
pasional, A  
solitario, B  
tratable, A  
extravertido, A  
discreto, B  
vergonzoso, B  
apasionado, A  
misántropo, B  
expresivo, A  
adusto, B  
sociable, A  
efusivo, A  
corto, B  
huidizo, B  
vehemente, A  
cerrado, B  
caluroso, A  
cohibido, B  
cauteloso, B  
sencillo, A  
cauto, B  
abierto, A  
intenso, A  
huraño, B  
acelerado, A  
retraído, B  
comunicativo, A  
introverso, B  
ardiente, A  
conversador, A  
locauz, B  
extrovertido, A  
esquivo, B  
guardado, B",01/25/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: locauz, esquivo, intenso, extrovertido, huraño, corto, caluroso, apasionado, comunicativo, discreto, cohibido, introverso, vehemente, retraído, tímido, guardado, ardiente, solitario, sociable, reservado, extravertido, sencillo, expresivo, expansivo, abierto, tratable, vergonzoso, cerrado, huidizo, conversador, adusto, acelerado, efusivo, elocuente, cauto, pasional, insociable, introvertido, cauteloso, misántropo. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Locauz, B  
Esquivo, A  
Intenso, B  
Extrovertido, B  
Huraño, A  
Corto, A  
Caluroso, B  
Apasionado, B  
Comunicativo, B  
Discreto, A  
Cohibido, A  
Introverso, A  
Vehemente, B  
Retraído, A  
Timido, A  
Guardado, A  
Ardiente, B  
Solitario, A  
Sociable, B  
Reservado, A  
Extravertido, B  
Sencillo, A  
Expresivo, B  
Expansivo, B  
Abierto, B  
Tratable, B  
Vergonzoso, A  
Cerrado, A  
Huidizo, A  
Conversador, B  
Adusto, A  
Acelerado, A  
Efusivo, B  
Elocuente, B  
Cauto, A  
Pasional, B  
Insociable, A  
Introvertido, A  
Cauteloso, A  
Misántropo, A",01/25/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: solitario, vergonzoso, introverso, discreto, pasional, huraño, huidizo, locauz, extravertido, apasionado, cauto, caluroso, sencillo, cohibido, reservado, sociable, introvertido, corto, vehemente, conversador, elocuente, expansivo, efusivo, retraído, adusto, abierto, expresivo, insociable, misántropo, esquivo, intenso, comunicativo, acelerado, tímido, tratable, ardiente, extrovertido, cerrado, cauteloso, guardado. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","solitario, B  
vergonzoso, A  
introverso, B  
discreto, A  
pasional, B  
huraño, A  
huidizo, B  
locauz, A  
extravertido, B  
apasionado, B  
cauto, A  
caluroso, B  
sencillo, A  
cohibido, A  
reservado, A  
sociable, B  
introvertido, B  
corto, A  
vehemente, B  
conversador, B  
elocuente, B  
expansivo, B  
efusivo, B  
retraído, A  
adusto, A  
abierto, B  
expresivo, B  
insociable, A  
misántropo, A  
esquivo, A  
intenso, B  
comunicativo, B  
acelerado, A  
tímido, A  
tratable, A  
ardiente, B  
extrovertido, B  
cerrado, A  
cauteloso, A  
guardado, A",01/25/26
