sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Parcel delivery driver, Mental health assistant, Store branch manager, Accounting advisor, Pastry shop attendant , Cashier - Stock clerk, Risk management and data security specialist, Cleaning staff, Warehouse office staff, Butcher Shop attendant, Security guard, Dog groomer, Collections manager, Counter sales clerk, Archive documentarist, Bookstore manager, Marketing & PR manager, Air conditioner installer, Hospital administrator, Human resources manager, Financial advisor, IT Senior Project manager , Beauty products advisor, Psychologist, Administrative and financial analyst, Early-childhood education teacher, Ice cream shop attendant, Telecommunications installer, Chauffeur, Pet shop assistant, Self-service assistant, Kitchen assistant, Junior Data Analyst, Warehouse assistant, Assistant store branch manager, Store shift manager, Bank teller, Pharmacy manager, Barista trainee, Motorcycle delivery driver, Event and conference coordinator, Private school principal, Production manager, Hotel receptionist, Accounting administrator, Director of operations, Vehicle mechanic, Hairdresser, Surgery instrument technician, Order picker, Real estate advisor, Field auditor, Customer service agent, Japanese cuisine cook. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Parcel delivery driver, B
Mental health assistant, A
Store branch manager, B
Accounting advisor, B
Pastry shop attendant, B
Cashier - Stock clerk, B
Risk management and data security specialist, B
Cleaning staff, B
Warehouse office staff, B
Butcher Shop attendant, B
Security guard, B
Dog groomer, A
Collections manager, B
Counter sales clerk, B
Archive documentarist, A
Bookstore manager, B
Marketing & PR manager, B
Air conditioner installer, B
Hospital administrator, A
Human resources manager, B
Financial advisor, B
IT Senior Project manager, B
Beauty products advisor, A
Psychologist, A
Administrative and financial analyst, B
Early-childhood education teacher, A
Ice cream shop attendant, B
Telecommunications installer, B
Chauffeur, B
Pet shop assistant, B
Self-service assistant, B
Kitchen assistant, B
Junior Data Analyst, B
Warehouse assistant, B
Assistant store branch manager, B
Store shift manager, B
Bank teller, B
Pharmacy manager, B
Barista trainee, B
Motorcycle delivery driver, B
Event and conference coordinator, B
Private school principal, A
Production manager, B
Hotel receptionist, B
Accounting administrator, B
Director of operations, B
Vehicle mechanic, B
Hairdresser, A
Surgery instrument technician, B
Order picker, B
Real estate advisor, B
Field auditor, B
Customer service agent, B
Japanese cuisine cook, B",01/23/26
2,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Early-childhood education teacher, Hotel receptionist, Store branch manager, Hospital administrator, Butcher Shop attendant, Customer service agent, Pharmacy manager, Psychologist, Dog groomer, Administrative and financial analyst, Telecommunications installer, Self-service assistant, Director of operations, Ice cream shop attendant, Bank teller, Financial advisor, Collections manager, Beauty products advisor, Accounting advisor, Barista trainee, Marketing & PR manager, Order picker, Field auditor, Production manager, Air conditioner installer, Kitchen assistant, Counter sales clerk, Bookstore manager, Private school principal, Surgery instrument technician, Hairdresser, Parcel delivery driver, Warehouse assistant, Cleaning staff, Pet shop assistant, Event and conference coordinator, Store shift manager, Chauffeur, Real estate advisor, Security guard, Archive documentarist, Human resources manager, IT Senior Project manager , Pastry shop attendant , Accounting administrator, Risk management and data security specialist, Cashier - Stock clerk, Japanese cuisine cook, Assistant store branch manager, Vehicle mechanic, Junior Data Analyst, Motorcycle delivery driver, Mental health assistant, Warehouse office staff. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Early-childhood education teacher, B
Hotel receptionist, B
Store branch manager, B
Hospital administrator, B
Butcher Shop attendant, B
Customer service agent, B
Pharmacy manager, B
Psychologist, B
Dog groomer, B
Administrative and financial analyst, B
Telecommunications installer, B
Self-service assistant, B
Director of operations, B
Ice cream shop attendant, B
Bank teller, B
Financial advisor, B
Collections manager, B
Beauty products advisor, B
Accounting advisor, B
Barista trainee, B
Marketing & PR manager, B
Order picker, B
Field auditor, B
Production manager, B
Air conditioner installer, B
Kitchen assistant, B
Counter sales clerk, B
Bookstore manager, B
Private school principal, B
Surgery instrument technician, B
Hairdresser, B
Parcel delivery driver, B
Warehouse assistant, B
Cleaning staff, B
Pet shop assistant, B
Event and conference coordinator, B
Store shift manager, B
Chauffeur, B
Real estate advisor, B
Security guard, B
Archive documentarist, B
Human resources manager, B
IT Senior Project manager, B
Pastry shop attendant, B
Accounting administrator, B
Risk management and data security specialist, B
Cashier - Stock clerk, B
Japanese cuisine cook, B
Assistant store branch manager, B
Vehicle mechanic, B
Junior Data Analyst, B
Motorcycle delivery driver, B
Mental health assistant, B
Warehouse office staff, B",01/23/26
3,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Customer service agent, Counter sales clerk, Pet shop assistant, Human resources manager, Psychologist, Kitchen assistant, Accounting advisor, Archive documentarist, Field auditor, Security guard, Event and conference coordinator, Administrative and financial analyst, Japanese cuisine cook, Accounting administrator, Cleaning staff, Collections manager, Bookstore manager, Warehouse assistant, Marketing & PR manager, Order picker, Self-service assistant, Store branch manager, Bank teller, Director of operations, Chauffeur, Assistant store branch manager, Butcher Shop attendant, Barista trainee, Dog groomer, Telecommunications installer, Surgery instrument technician, Financial advisor, Private school principal, Junior Data Analyst, Pastry shop attendant , Warehouse office staff, Risk management and data security specialist, Air conditioner installer, Motorcycle delivery driver, Hotel receptionist, Parcel delivery driver, Early-childhood education teacher, Ice cream shop attendant, IT Senior Project manager , Store shift manager, Mental health assistant, Hospital administrator, Pharmacy manager, Vehicle mechanic, Real estate advisor, Hairdresser, Cashier - Stock clerk, Beauty products advisor, Production manager. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Customer service agent, B
Counter sales clerk, B
Pet shop assistant, B
Human resources manager, A
Psychologist, A
Kitchen assistant, B
Accounting advisor, A
Archive documentarist, A
Field auditor, A
Security guard, B
Event and conference coordinator, A
Administrative and financial analyst, A
Japanese cuisine cook, B
Accounting administrator, A
Cleaning staff, B
Collections manager, A
Bookstore manager, A
Warehouse assistant, B
Marketing & PR manager, A
Order picker, B
Self-service assistant, B
Store branch manager, A
Bank teller, B
Director of operations, A
Chauffeur, B
Assistant store branch manager, A
Butcher Shop attendant, B
Barista trainee, B
Dog groomer, B
Telecommunications installer, B
Surgery instrument technician, B
Financial advisor, A
Private school principal, A
Junior Data Analyst, A
Pastry shop attendant, B
Warehouse office staff, A
Risk management and data security specialist, A
Air conditioner installer, B
Motorcycle delivery driver, B
Hotel receptionist, B
Parcel delivery driver, B
Early-childhood education teacher, A
Ice cream shop attendant, B
IT Senior Project manager, A
Store shift manager, A
Mental health assistant, A
Hospital administrator, A
Pharmacy manager, A
Vehicle mechanic, B
Real estate advisor, A
Hairdresser, B
Cashier - Stock clerk, B
Beauty products advisor, B
Production manager, A",01/23/26
4,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Event and conference coordinator, Production manager, Chauffeur, Director of operations, Pet shop assistant, Store branch manager, Bank teller, Security guard, Japanese cuisine cook, Collections manager, Surgery instrument technician, Warehouse office staff, Beauty products advisor, Kitchen assistant, Vehicle mechanic, Pastry shop attendant , Private school principal, Field auditor, Dog groomer, Warehouse assistant, Accounting administrator, Self-service assistant, Early-childhood education teacher, IT Senior Project manager , Hospital administrator, Air conditioner installer, Accounting advisor, Ice cream shop attendant, Customer service agent, Assistant store branch manager, Junior Data Analyst, Hotel receptionist, Butcher Shop attendant, Counter sales clerk, Store shift manager, Barista trainee, Administrative and financial analyst, Pharmacy manager, Hairdresser, Cashier - Stock clerk, Parcel delivery driver, Psychologist, Real estate advisor, Archive documentarist, Financial advisor, Bookstore manager, Order picker, Telecommunications installer, Risk management and data security specialist, Human resources manager, Mental health assistant, Motorcycle delivery driver, Cleaning staff, Marketing & PR manager. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Here's the list of jobs with the corresponding writer (A or B) chosen for each:

Event and conference coordinator, B
Production manager, B
Chauffeur, B
Director of operations, B
Pet shop assistant, A
Store branch manager, B
Bank teller, A
Security guard, A
Japanese cuisine cook, A
Collections manager, B
Surgery instrument technician, A
Warehouse office staff, A
Beauty products advisor, A
Kitchen assistant, A
Vehicle mechanic, A
Pastry shop attendant, A
Private school principal, B
Field auditor, B
Dog groomer, A
Warehouse assistant, A
Accounting administrator, B
Self-service assistant, A
Early-childhood education teacher, A
IT Senior Project manager, B
Hospital administrator, B
Air conditioner installer, A
Accounting advisor, B
Ice cream shop attendant, A
Customer service agent, A
Assistant store branch manager, B
Junior Data Analyst, B
Hotel receptionist, A
Butcher Shop attendant, A
Counter sales clerk, A
Store shift manager, B
Barista trainee, A
Administrative and financial analyst, B
Pharmacy manager, B
Hairdresser, A
Cashier - Stock clerk, A
Parcel delivery driver, B
Psychologist, A
Real estate advisor, B
Archive documentarist, A
Financial advisor, B
Bookstore manager, A
Order picker, A
Telecommunications installer, A
Risk management and data security specialist, B
Human resources manager, B
Mental health assistant, A
Motorcycle delivery driver, B
Cleaning staff, A
Marketing & PR manager, B",01/23/26
5,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Hotel receptionist, Risk management and data security specialist, Human resources manager, Psychologist, Warehouse assistant, Counter sales clerk, Self-service assistant, Event and conference coordinator, Air conditioner installer, Assistant store branch manager, Barista trainee, Accounting advisor, Butcher Shop attendant, Warehouse office staff, Cleaning staff, Pharmacy manager, Bookstore manager, Dog groomer, Beauty products advisor, Japanese cuisine cook, Early-childhood education teacher, Junior Data Analyst, Private school principal, Surgery instrument technician, Order picker, Field auditor, Hospital administrator, Security guard, Hairdresser, Administrative and financial analyst, IT Senior Project manager , Collections manager, Customer service agent, Production manager, Pastry shop attendant , Cashier - Stock clerk, Ice cream shop attendant, Pet shop assistant, Real estate advisor, Chauffeur, Kitchen assistant, Marketing & PR manager, Accounting administrator, Parcel delivery driver, Telecommunications installer, Director of operations, Store branch manager, Bank teller, Mental health assistant, Archive documentarist, Store shift manager, Vehicle mechanic, Motorcycle delivery driver, Financial advisor. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Hotel receptionist, B
Risk management and data security specialist, A
Human resources manager, A
Psychologist, A
Warehouse assistant, B
Counter sales clerk, B
Self-service assistant, B
Event and conference coordinator, A
Air conditioner installer, B
Assistant store branch manager, B
Barista trainee, B
Accounting advisor, A
Butcher Shop attendant, B
Warehouse office staff, A
Cleaning staff, B
Pharmacy manager, A
Bookstore manager, B
Dog groomer, B
Beauty products advisor, B
Japanese cuisine cook, B
Early-childhood education teacher, A
Junior Data Analyst, A
Private school principal, A
Surgery instrument technician, B
Order picker, B
Field auditor, A
Hospital administrator, A
Security guard, B
Hairdresser, B
Administrative and financial analyst, A
IT Senior Project manager, A
Collections manager, A
Customer service agent, B
Production manager, A
Pastry shop attendant, B
Cashier - Stock clerk, B
Ice cream shop attendant, B
Pet shop assistant, B
Real estate advisor, A
Chauffeur, B
Kitchen assistant, B
Marketing & PR manager, A
Accounting administrator, A
Parcel delivery driver, B
Telecommunications installer, B
Director of operations, A
Store branch manager, B
Bank teller, B
Mental health assistant, A
Archive documentarist, A
Store shift manager, B
Vehicle mechanic, B
Motorcycle delivery driver, B
Financial advisor, A",01/23/26
6,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Early-childhood education teacher, Japanese cuisine cook, Administrative and financial analyst, Hospital administrator, Cashier - Stock clerk, Self-service assistant, Telecommunications installer, Butcher Shop attendant, Pastry shop attendant , Parcel delivery driver, Psychologist, Warehouse office staff, Real estate advisor, Event and conference coordinator, Bank teller, Store shift manager, Chauffeur, Beauty products advisor, Air conditioner installer, Director of operations, Motorcycle delivery driver, Vehicle mechanic, Marketing & PR manager, Collections manager, Accounting administrator, Risk management and data security specialist, Kitchen assistant, Accounting advisor, Ice cream shop attendant, Hairdresser, Private school principal, Pet shop assistant, Field auditor, Junior Data Analyst, Assistant store branch manager, Store branch manager, Surgery instrument technician, Customer service agent, Barista trainee, Cleaning staff, Hotel receptionist, Dog groomer, IT Senior Project manager , Archive documentarist, Financial advisor, Bookstore manager, Mental health assistant, Counter sales clerk, Human resources manager, Security guard, Warehouse assistant, Production manager, Pharmacy manager, Order picker. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Early-childhood education teacher, A
Japanese cuisine cook, A
Administrative and financial analyst, B
Hospital administrator, B
Cashier - Stock clerk, A
Self-service assistant, A
Telecommunications installer, A
Butcher Shop attendant, A
Pastry shop attendant, A
Parcel delivery driver, A
Psychologist, B
Warehouse office staff, B
Real estate advisor, B
Event and conference coordinator, B
Bank teller, A
Store shift manager, A
Chauffeur, A
Beauty products advisor, A
Air conditioner installer, A
Director of operations, B
Motorcycle delivery driver, A
Vehicle mechanic, A
Marketing & PR manager, B
Collections manager, B
Accounting administrator, B
Risk management and data security specialist, B
Kitchen assistant, A
Accounting advisor, B
Ice cream shop attendant, A
Hairdresser, A
Private school principal, B
Pet shop assistant, A
Field auditor, B
Junior Data Analyst, B
Assistant store branch manager, A
Store branch manager, A
Surgery instrument technician, A
Customer service agent, A
Barista trainee, A
Cleaning staff, A
Hotel receptionist, A
Dog groomer, A
IT Senior Project manager, B
Archive documentarist, A
Financial advisor, B
Bookstore manager, A
Mental health assistant, B
Counter sales clerk, A
Human resources manager, B
Security guard, A
Warehouse assistant, A
Production manager, B
Pharmacy manager, B
Order picker, A",01/23/26
7,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Human resources manager, Bank teller, Parcel delivery driver, Order picker, Director of operations, Collections manager, Ice cream shop attendant, Vehicle mechanic, Private school principal, Production manager, Junior Data Analyst, Security guard, Hotel receptionist, Pharmacy manager, Pastry shop attendant , Cashier - Stock clerk, Warehouse office staff, Early-childhood education teacher, Air conditioner installer, Hospital administrator, Store shift manager, Pet shop assistant, Event and conference coordinator, Accounting administrator, Cleaning staff, Accounting advisor, Barista trainee, Mental health assistant, Surgery instrument technician, Field auditor, Administrative and financial analyst, Counter sales clerk, Telecommunications installer, Marketing & PR manager, Beauty products advisor, Kitchen assistant, Hairdresser, Archive documentarist, Warehouse assistant, IT Senior Project manager , Risk management and data security specialist, Financial advisor, Self-service assistant, Psychologist, Butcher Shop attendant, Japanese cuisine cook, Customer service agent, Dog groomer, Bookstore manager, Store branch manager, Assistant store branch manager, Real estate advisor, Chauffeur, Motorcycle delivery driver. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Here's the list of jobs with the corresponding writer (A or B) chosen for each:

Human resources manager, B
Bank teller, B
Parcel delivery driver, B
Order picker, B
Director of operations, B
Collections manager, B
Ice cream shop attendant, B
Vehicle mechanic, B
Private school principal, A
Production manager, B
Junior Data Analyst, A
Security guard, B
Hotel receptionist, B
Pharmacy manager, B
Pastry shop attendant, B
Cashier - Stock clerk, B
Warehouse office staff, B
Early-childhood education teacher, A
Air conditioner installer, B
Hospital administrator, A
Store shift manager, B
Pet shop assistant, B
Event and conference coordinator, B
Accounting administrator, B
Cleaning staff, B
Accounting advisor, B
Barista trainee, B
Mental health assistant, A
Surgery instrument technician, B
Field auditor, B
Administrative and financial analyst, A
Counter sales clerk, B
Telecommunications installer, B
Marketing & PR manager, B
Beauty products advisor, B
Kitchen assistant, B
Hairdresser, B
Archive documentarist, A
Warehouse assistant, B
IT Senior Project manager, A
Risk management and data security specialist, A
Financial advisor, B
Self-service assistant, B
Psychologist, A
Butcher Shop attendant, B
Japanese cuisine cook, B
Customer service agent, B
Dog groomer, B
Bookstore manager, B
Store branch manager, B
Assistant store branch manager, B
Real estate advisor, B
Chauffeur, B
Motorcycle delivery driver, B",01/23/26
8,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Order picker, Self-service assistant, Warehouse assistant, Customer service agent, Pet shop assistant, Production manager, Vehicle mechanic, Director of operations, Surgery instrument technician, Bookstore manager, Private school principal, Event and conference coordinator, Real estate advisor, Early-childhood education teacher, Warehouse office staff, Beauty products advisor, Kitchen assistant, Archive documentarist, Marketing & PR manager, Butcher Shop attendant, Chauffeur, Junior Data Analyst, Store branch manager, Barista trainee, Telecommunications installer, Accounting administrator, Dog groomer, Cashier - Stock clerk, Pastry shop attendant , Pharmacy manager, Administrative and financial analyst, Bank teller, IT Senior Project manager , Air conditioner installer, Hairdresser, Hotel receptionist, Japanese cuisine cook, Risk management and data security specialist, Counter sales clerk, Collections manager, Field auditor, Motorcycle delivery driver, Accounting advisor, Financial advisor, Hospital administrator, Mental health assistant, Human resources manager, Psychologist, Cleaning staff, Store shift manager, Ice cream shop attendant, Assistant store branch manager, Security guard, Parcel delivery driver. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Order picker, B
Self-service assistant, B
Warehouse assistant, B
Customer service agent, B
Pet shop assistant, B
Production manager, A
Vehicle mechanic, A
Director of operations, A
Surgery instrument technician, A
Bookstore manager, A
Private school principal, A
Event and conference coordinator, A
Real estate advisor, A
Early-childhood education teacher, A
Warehouse office staff, A
Beauty products advisor, B
Kitchen assistant, B
Archive documentarist, A
Marketing & PR manager, A
Butcher Shop attendant, B
Chauffeur, B
Junior Data Analyst, A
Store branch manager, A
Barista trainee, B
Telecommunications installer, A
Accounting administrator, A
Dog groomer, B
Cashier - Stock clerk, B
Pastry shop attendant, B
Pharmacy manager, A
Administrative and financial analyst, A
Bank teller, B
IT Senior Project manager, A
Air conditioner installer, A
Hairdresser, B
Hotel receptionist, B
Japanese cuisine cook, B
Risk management and data security specialist, A
Counter sales clerk, B
Collections manager, A
Field auditor, A
Motorcycle delivery driver, B
Accounting advisor, A
Financial advisor, A
Hospital administrator, A
Mental health assistant, A
Human resources manager, A
Psychologist, A
Cleaning staff, B
Store shift manager, A
Ice cream shop attendant, B
Assistant store branch manager, A
Security guard, B
Parcel delivery driver, B",01/23/26
9,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Pastry shop attendant , Director of operations, Bank teller, Chauffeur, Accounting administrator, Air conditioner installer, Field auditor, Kitchen assistant, Hotel receptionist, Risk management and data security specialist, Pharmacy manager, Cashier - Stock clerk, Financial advisor, Accounting advisor, Japanese cuisine cook, Butcher Shop attendant, Counter sales clerk, Cleaning staff, Motorcycle delivery driver, Assistant store branch manager, Bookstore manager, Early-childhood education teacher, Store branch manager, Vehicle mechanic, Warehouse assistant, Psychologist, Beauty products advisor, Warehouse office staff, Parcel delivery driver, Private school principal, Hospital administrator, Event and conference coordinator, Mental health assistant, Store shift manager, Marketing & PR manager, Hairdresser, Junior Data Analyst, Pet shop assistant, Telecommunications installer, Administrative and financial analyst, Customer service agent, Human resources manager, Ice cream shop attendant, Dog groomer, Surgery instrument technician, Order picker, Collections manager, Real estate advisor, Self-service assistant, Barista trainee, Security guard, IT Senior Project manager , Archive documentarist, Production manager. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Pastry shop attendant , B
Director of operations , A
Bank teller , A
Chauffeur , B
Accounting administrator , A
Air conditioner installer , B
Field auditor , A
Kitchen assistant , B
Hotel receptionist , A
Risk management and data security specialist , A
Pharmacy manager , A
Cashier - Stock clerk , A
Financial advisor , A
Accounting advisor , A
Japanese cuisine cook , B
Butcher Shop attendant , B
Counter sales clerk , A
Cleaning staff , B
Motorcycle delivery driver , B
Assistant store branch manager , A
Bookstore manager , A
Early-childhood education teacher , A
Store branch manager , A
Vehicle mechanic , B
Warehouse assistant , B
Psychologist , A
Beauty products advisor , A
Warehouse office staff , A
Parcel delivery driver , B
Private school principal , A
Hospital administrator , A
Event and conference coordinator , A
Mental health assistant , A
Store shift manager , A
Marketing & PR manager , A
Hairdresser , A
Junior Data Analyst , A
Pet shop assistant , A
Telecommunications installer , B
Administrative and financial analyst , A
Customer service agent , A
Human resources manager , A
Ice cream shop attendant , B
Dog groomer , A
Surgery instrument technician , A
Order picker , B
Collections manager , A
Real estate advisor , A
Self-service assistant , A
Barista trainee , B
Security guard , B
IT Senior Project manager , A
Archive documentarist , A
Production manager , A",01/23/26
10,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: Mental health assistant, Butcher Shop attendant, Security guard, Early-childhood education teacher, Store shift manager, Customer service agent, Parcel delivery driver, Hospital administrator, Self-service assistant, Marketing & PR manager, Pharmacy manager, Cashier - Stock clerk, Warehouse assistant, Director of operations, Vehicle mechanic, Bookstore manager, Dog groomer, Human resources manager, Administrative and financial analyst, Collections manager, Store branch manager, Financial advisor, Hairdresser, Hotel receptionist, Archive documentarist, Cleaning staff, Production manager, IT Senior Project manager , Ice cream shop attendant, Surgery instrument technician, Psychologist, Warehouse office staff, Chauffeur, Accounting administrator, Bank teller, Accounting advisor, Pet shop assistant, Beauty products advisor, Private school principal, Order picker, Field auditor, Assistant store branch manager, Event and conference coordinator, Air conditioner installer, Kitchen assistant, Japanese cuisine cook, Motorcycle delivery driver, Risk management and data security specialist, Counter sales clerk, Junior Data Analyst, Telecommunications installer, Barista trainee, Pastry shop attendant , Real estate advisor. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Mental health assistant, B
Butcher Shop attendant, B
Security guard, B
Early-childhood education teacher, B
Store shift manager, B
Customer service agent, B
Parcel delivery driver, B
Hospital administrator, B
Self-service assistant, B
Marketing & PR manager, B
Pharmacy manager, B
Cashier - Stock clerk, B
Warehouse assistant, B
Director of operations, B
Vehicle mechanic, B
Bookstore manager, B
Dog groomer, B
Human resources manager, B
Administrative and financial analyst, B
Collections manager, B
Store branch manager, B
Financial advisor, B
Hairdresser, B
Hotel receptionist, B
Archive documentarist, B
Cleaning staff, B
Production manager, B
IT Senior Project manager, B
Ice cream shop attendant, B
Surgery instrument technician, B
Psychologist, A
Warehouse office staff, B
Chauffeur, B
Accounting administrator, B
Bank teller, B
Accounting advisor, B
Pet shop assistant, B
Beauty products advisor, B
Private school principal, B
Order picker, B
Field auditor, B
Assistant store branch manager, B
Event and conference coordinator, B
Air conditioner installer, B
Kitchen assistant, B
Japanese cuisine cook, B
Motorcycle delivery driver, B
Risk management and data security specialist, B
Counter sales clerk, B
Junior Data Analyst, B
Telecommunications installer, B
Barista trainee, B
Pastry shop attendant, B
Real estate advisor, B",01/23/26
