sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: introverso, sencillo, extrovertido, abierto, expresivo, conversador, insociable, extravertido, retraído, sociable, introvertido, efusivo, huidizo, solitario, cerrado, cohibido, guardado, acelerado, ardiente, elocuente, huraño, tímido, tratable, cauteloso, esquivo, vergonzoso, adusto, caluroso, cauto, corto, vehemente, expansivo, discreto, comunicativo, reservado, intenso, locauz, pasional, misántropo, apasionado. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Introverso, B
Sencillo, B
Extrovertido, A
Abierto, A
Expresivo, A
Conversador, A
Insociable, B
Extravertido, A
Retraído, B
Sociable, A
Introvertido, B
Efusivo, A
Huidizo, B
Solitario, B
Cerrado, B
Cohibido, B
Guardado, B
Acelerado, B
Ardiente, B
Elocuente, A
Huraño, B
Tímido, B
Tratable, A
Cauteloso, B
Esquivo, B
Vergonzoso, B
Adusto, B
Caluroso, B
Cauto, B
Corto, B
Vehemente, A
Expansivo, A
Discreto, B
Comunicativo, A
Reservado, B
Intenso, B
Locaz, B
Pasional, A
Misántropo, B
Apasionado, A
",
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: introvertido, adusto, retraído, huidizo, solitario, pasional, locauz, sencillo, caluroso, efusivo, vergonzoso, discreto, tratable, vehemente, conversador, ardiente, abierto, extravertido, introverso, expansivo, misántropo, cohibido, insociable, tímido, extrovertido, comunicativo, corto, sociable, apasionado, huraño, esquivo, intenso, reservado, elocuente, cauteloso, expresivo, cauto, cerrado, guardado, acelerado. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Introvertido, B
Adusto, A
Retraído, B
Huidizo, A
Solitario, B
Pasional, A
Locaz, B
Sencillo, A
Caluroso, B
Efusivo, A
Vergonzoso, B
Discreto, A
Tratable, B
Vehemente, A
Conversador, B
Ardiente, A
Abierto, B
Extravertido, A
Introverso, B
Expansivo, A
Misántropo, B
Cohibido, A
Insociable, B
Tímido, A
Extrovertido, B
Comunicativo, A
Corto, B
Sociable, A
Apasionado, B
Huraño, A
Esquivo, B
Intenso, A
Reservado, B
Elocuente, A
Cauteloso, B
Expresivo, A
Cauto, B
Cerrado, A
Guardado, B
Acelerado, A",
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: expansivo, vergonzoso, expresivo, comunicativo, pasional, apasionado, tratable, retraído, insociable, sociable, adusto, cerrado, corto, guardado, intenso, discreto, vehemente, abierto, caluroso, introvertido, reservado, elocuente, cauteloso, tímido, extravertido, locauz, misántropo, cohibido, extrovertido, solitario, esquivo, sencillo, conversador, cauto, huraño, introverso, efusivo, huidizo, acelerado, ardiente. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Expansivo, B
Vergonzoso, B
Expresivo, A
Comunicativo, A
Pasional, A
Apasionado, A
Tratable, A
Retraído, B
Insociable, B
Sociable, A
Adusto, B
Cerrado, B
Corto, B
Guardado, B
Intenso, A
Discreto, B
Vehemente, A
Abierto, A
Caluroso, B
Introvertido, B
Reservado, B
Elocuente, A
Cauteloso, B
Tímido, B
Extravertido, A
Locaz, B
Misántropo, B
Cohibido, B
Extrovertido, A
Solitario, B
Esquivo, B
Sencillo, A
Conversador, A
Cauto, B
Huraño, B
Introverso, B
Efusivo, A
Huidizo, B
Acelerado, B
Ardiente, A",
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: efusivo, comunicativo, acelerado, expansivo, caluroso, huraño, vergonzoso, corto, esquivo, sociable, solitario, sencillo, huidizo, vehemente, introverso, misántropo, reservado, expresivo, cerrado, locauz, pasional, tímido, intenso, cohibido, adusto, discreto, elocuente, introvertido, insociable, ardiente, abierto, apasionado, tratable, cauto, conversador, retraído, extrovertido, cauteloso, extravertido, guardado. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Efusivo, B.
Comunicativo, A.
Acelerado, B.
Expansivo, A.
Caluroso, B.
Huraño, A.
Vergonzoso, B.
Corto, A.
Esquivo, B.
Sociable, A.
Solitario, B.
Sencillo, A.
Huidizo, B.
Vehemente, A.
Introvertido, B.
Misántropo, A.
Reservado, B.
Expresivo, A.
Cerrado, B.
Locaz, A.
Pasional, B.
Tímido, A.
Intenso, B.
Cohibido, A.
Adusto, B.
Discreto, A.
Elocuente, B.
Introvertido, A.
Insociable, B.
Ardiente, A.
Abierto, B.
Apasionado, A.
Tratable, B.
Cauto, A.
Conversador, B.
Retraído, A.
Extrovertido, B.
Cauteloso, A.
Extravertido, B.
Guardado, A.
",
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: acelerado, cauto, apasionado, ardiente, tratable, expansivo, reservado, vehemente, extrovertido, sencillo, elocuente, misántropo, adusto, abierto, huraño, comunicativo, conversador, cohibido, huidizo, intenso, tímido, vergonzoso, pasional, retraído, locauz, corto, insociable, discreto, solitario, sociable, cauteloso, expresivo, guardado, introverso, caluroso, esquivo, efusivo, extravertido, introvertido, cerrado. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Acelerado, A
Cauto, B
Apasionado, A
Ardiente, A
Tratable, B
Expansivo, B
Reservado, A
Vehemente, A
Extrovertido, B
Sencillo, A
Elocuente, A
Misántropo, A
Adusto, A
Abierto, B
Huraño, A
Comunicativo, B
Conversador, B
Cohibido, A
Huidizo, A
Intenso, A
Tímido, A
Vergonzoso, A
Pasional, A
Retraído, A
Locaz, B
Corto, A
Insociable, A
Discreto, A
Solitario, A
Sociable, B
Cauteloso, B
Expresivo, B
Guardado, A
Introvertido, A
Caluroso, A
Esquivo, A
Efusivo, B
Extravertido, B
Introvertido, A
Cerrado, A",
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vehemente, tímido, huraño, intenso, caluroso, sociable, esquivo, apasionado, insociable, sencillo, introvertido, acelerado, solitario, tratable, conversador, cohibido, cauteloso, cauto, cerrado, introverso, discreto, corto, extravertido, locauz, vergonzoso, pasional, guardado, extrovertido, ardiente, elocuente, adusto, expansivo, misántropo, reservado, huidizo, expresivo, comunicativo, retraído, abierto, efusivo. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Vehemente, A
Tímido, B
Huraño, B
Intenso, A
Caluroso, B
Sociable, A
Esquivo, B
Apasionado, A
Insociable, B
Sencillo, A
Introvertido, B
Acelerado, A
Solitario, B
Tratable, A
Conversador, A
Cohibido, B
Cauteloso, B
Cauto, B
Cerrado, B
Introverso, B
Discreto, A
Corto, A
Extravertido, A
Locaz, A
Vergonzoso, B
Pasional, A
Guardado, B
Extrovertido, A
Ardiente, A
Elocuente, A
Adusto, B
Expansivo, A
Misántropo, B
Reservado, B
Huidizo, B
Expresivo, A
Comunicativo, A
Retraído, B
Abierto, A
Efusivo, A",
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: retraído, comunicativo, sencillo, conversador, tímido, cerrado, expresivo, expansivo, misántropo, pasional, guardado, tratable, huidizo, extrovertido, abierto, introvertido, huraño, solitario, caluroso, ardiente, intenso, sociable, esquivo, extravertido, reservado, corto, introverso, locauz, adusto, cauteloso, apasionado, elocuente, discreto, cauto, cohibido, acelerado, insociable, efusivo, vehemente, vergonzoso. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Retraído, B
Comunicativo, A
Sencillo, B
Conversador, A
Tímido, B
Cerrado, B
Expresivo, A
Expansivo, A
Misántropo, B
Pasional, A
Guardado, B
Tratable, A
Huidizo, B
Extrovertido, A
Abierto, A
Introvertido, B
Huraño, B
Solitario, B
Caluroso, A
Ardiente, A
Intenso, A
Sociable, A
Esquivo, B
Extravertido, A
Reservado, B
Corto, B
Introverso, B
Locaz, A
Adusto, B
Cauteloso, B
Apasionado, A
Elocuente, A
Discreto, B
Cauto, B
Cohibido, B
Acelerado, A
Insociable, B
Efusivo, A
Vehemente, A
Vergonzoso, B",
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: adusto, pasional, huidizo, esquivo, cauto, misántropo, caluroso, conversador, extravertido, expansivo, corto, vehemente, sencillo, cohibido, abierto, extrovertido, vergonzoso, cerrado, solitario, intenso, retraído, efusivo, locauz, elocuente, introvertido, introverso, huraño, tímido, acelerado, discreto, expresivo, tratable, apasionado, ardiente, reservado, comunicativo, sociable, insociable, cauteloso, guardado. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Adusto, A, pasional, B, huidizo, B, esquivo, B, cauto, A, misántropo, A, caluroso, B, conversador, B, extravertido, B, expansivo, B, corto, A, vehemente, B, sencillo, A, cohibido, A, abierto, B, extrovertido, B, vergonzoso, A, cerrado, A, solitario, A, intenso, B, retraído, A, efusivo, B, locuaz, B, elocuente, B, introvertido, A, introverso, A, huraño, A, tímido, A, acelerado, A, discreto, A, expresivo, B, tratable, B, apasionado, B, ardiente, B, reservado, A, comunicativo, B, sociable, B, insociable, A, cauteloso, A, guardado, A.
",
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vehemente, cauteloso, adusto, expresivo, extrovertido, vergonzoso, corto, reservado, huraño, elocuente, acelerado, comunicativo, esquivo, ardiente, efusivo, extravertido, huidizo, sociable, cerrado, caluroso, pasional, cauto, sencillo, locauz, insociable, expansivo, tímido, misántropo, solitario, intenso, guardado, cohibido, tratable, introvertido, abierto, conversador, discreto, retraído, apasionado, introverso. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Vehemente, B
Cauteloso, A
Adusto, A
Expresivo, B
Extrovertido, B
Vergonzoso, A
Corto, A
Reservado, A
Huraño, A
Elocuente, B
Acelerado, B
Comunicativo, B
Esquivo, A
Ardiente, B
Efusivo, B
Extravertido, B
Huidizo, A
Sociable, B
Cerrado, A
Caluroso, B
Pasional, B
Cauto, A
Sencillo, A
Loco, B
Insociable, A
Expansivo, B
Tímido, A
Misántropo, A
Solitario, A
Intenso, B
Guardado, A
Cohibido, A
Tratable, B
Introvertido, A
Abierto, B
Conversador, B
Discreto, A
Retraído, A
Apasionado, B
Introverso, A",
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: elocuente, vergonzoso, cohibido, retraído, huraño, efusivo, introvertido, corto, caluroso, abierto, sociable, vehemente, cauteloso, extrovertido, pasional, tímido, insociable, sencillo, cerrado, introverso, locauz, guardado, comunicativo, cauto, tratable, discreto, expresivo, reservado, extravertido, conversador, apasionado, esquivo, solitario, adusto, acelerado, huidizo, misántropo, expansivo, intenso, ardiente. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Elocuente, A
Vergonzoso, B
Cohibido, B
Retraído, B
Huraño, A
Efusivo, B
Introvertido, B
Corto, A
Caluroso, A
Abierto, B
Sociable, B
Vehemente, A
Cauteloso, A
Extrovertido, B
Pasional, A
Tímido, B
Insociable, A
Sencillo, A
Cerrado, A
Introverso, B
Locaz, B
Guardado, A
Comunicativo, B
Cauto, A
Tratable, B
Discreto, A
Expresivo, B
Reservado, A
Extravertido, B
Conversador, B
Apasionado, A
Esquivo, A
Solitario, A
Adusto, A
Acelerado, A
Huidizo, A
Misántropo, A
Expansivo, B
Intenso, A
Ardiente, A",
