sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: tranquilo, vacilante, titubeante, mudable, decidido, indeciso, inestable, grave, movedizo, atrevido, audaz, variante, reflexivo, aplomado, perplejo, irresoluto, indeterminado, vago, enérgico, inseguro, seguro, ponderado, confiado, emprendedor, lanzado, sereno, resuelto, confuso, mesurado, imperturbable, incierto, impreciso, dubitativo, valiente, cambiante, inconstante, prudente, cicunspecto, variable, borroso. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Tranquilo, A
Vacilante, B
Titubeante, B
Muable, A
Decidido, B
Indeciso, B
Inestable, A
Grave, A
Movedizo, B
Atrevido, B
Audaz, B
Variante, A
Reflexivo, A
Aplomado, B
Perplejo, B
Irresoluto, B
Indeterminado, B
Vago, A
Enérgico, B
Inseguro, B
Seguro, B
Ponderado, A
Confiado, B
Emprendedor, B
Lanzado, B
Sereno, A
Resuelto, B
Confuso, B
Mesurado, A
Imperturbable, A
Incierto, B
Impreciso, A
Dubitativo, B
Valiente, B
Cambiante, A
Inconstante, A
Prudente, A
Circunspecto, A
Variable, A
Borroso, A",
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: variante, indeterminado, cambiante, prudente, enérgico, seguro, mesurado, incierto, indeciso, resuelto, sereno, impreciso, reflexivo, inestable, audaz, tranquilo, valiente, confiado, ponderado, movedizo, inconstante, confuso, vago, titubeante, inseguro, dubitativo, cicunspecto, mudable, variable, irresoluto, atrevido, grave, vacilante, emprendedor, decidido, imperturbable, borroso, lanzado, perplejo, aplomado. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Variante, B
Indeterminado, B
Cambiante, B
Prudente, A
Enérgico, A
Seguro, A
Mesurado, A
Incierto, B
Indeciso, B
Resuelto, A
Sereno, A
Impreciso, B
Reflexivo, A
Inestable, B
Audaz, A
Tranquilo, A
Valiente, A
Confiado, A
Ponderado, A
Movedizo, B
Inconstante, B
Confuso, B
Vago, B
Titubeante, B
Inseguro, B
Dubitativo, B
Circunspecto, A
Mudable, B
Variable, B
Irresoluto, B
Atrevido, A
Grave, A
Vacilante, B
Emprendedor, A
Decidido, A
Imperturbable, A
Borroso, B
Lanzado, A
Perplejo, B
Aplomado, A
",
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: movedizo, inseguro, mesurado, inestable, titubeante, aplomado, valiente, prudente, dubitativo, borroso, irresoluto, cambiante, impreciso, vacilante, inconstante, emprendedor, reflexivo, tranquilo, grave, confiado, decidido, cicunspecto, ponderado, lanzado, resuelto, seguro, imperturbable, variable, mudable, audaz, enérgico, vago, indeterminado, atrevido, indeciso, confuso, incierto, sereno, perplejo, variante. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Movedizo, B
Inseguro, B
Mesurado, A
Inestable, B
Titubeante, B
Aplomado, A
Valiente, A
Prudente, A
Dubitativo, B
Borroso, B
Irresoluto, B
Cambiante, B
Impreciso, B
Vacilante, B
Inconstante, B
Emprendedor, A
Reflexivo, A
Tranquilo, A
Grave, A
Confiado, A
Decidido, A
Circunspecto, A
Ponderado, A
Lanzado, B
Resuelto, A
Seguro, A
Imperturbable, A
Variable, B
Muable, B
Audaz, A
Enérgico, A
Vago, B
Indeterminado, B
Atrevido, B
Indeciso, B
Confuso, B
Incierto, B
Sereno, A
Perplejo, B
Variante, B",
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: mudable, vago, enérgico, cambiante, ponderado, incierto, confuso, decidido, audaz, irresoluto, lanzado, valiente, resuelto, dubitativo, inconstante, sereno, vacilante, variable, impreciso, imperturbable, indeciso, inestable, borroso, movedizo, indeterminado, atrevido, confiado, cicunspecto, aplomado, tranquilo, perplejo, mesurado, reflexivo, grave, emprendedor, titubeante, inseguro, variante, prudente, seguro. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Mudable, B
Vago, B
Enérgico, A
Cambiante, B
Ponderado, A
Incierto, B
Confuso, B
Decidido, A
Audaz, A
Irresoluto, B
Lanzado, A
Valiente, A
Resuelto, A
Dubitativo, B
Inconstante, B
Sereno, A
Vacilante, B
Variable, B
Impreciso, B
Imperturbable, A
Indeciso, B
Inestable, B
Borroso, B
Movedizo, B
Indeterminado, B
Atrevido, A
Confiado, A
Circunspecto, A
Aplomado, A
Tranquilo, A
Perplejo, B
Mesurado, A
Reflexivo, A
Grave, A
Emprendedor, A
Titubeante, B
Inseguro, B
Variante, B
Prudente, A
Seguro, A",
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vacilante, imperturbable, emprendedor, dubitativo, variable, decidido, atrevido, confuso, mesurado, prudente, inconstante, cicunspecto, mudable, irresoluto, reflexivo, titubeante, resuelto, seguro, borroso, lanzado, impreciso, enérgico, inestable, sereno, vago, ponderado, perplejo, confiado, inseguro, indeciso, cambiante, movedizo, variante, aplomado, valiente, audaz, indeterminado, tranquilo, grave, incierto. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Vacilante, B
Imperturbable, A
Emprendedor, B
Dubitativo, A
Variable, B
Decidido, A
Atrevido, B
Confuso, A
Mesurado, A
Prudente, B
Inconstante, B
Circunspecto, A
Mirable, B
Irresoluto, A
Reflexivo, A
Titubeante, B
Resuelto, A
Seguro, B
Borroso, A
Lanzado, B
Impreciso, A
Enérgico, B
Inestable, B
Sereno, A
Vago, A
Ponderado, A
Perplejo, B
Confiado, B
Inseguro, A
Indeciso, A
Cambiante, B
Movedizo, B
Variante, B
Aplomado, A
Valiente, B
Audaz, B
Indeterminado, A
Tranquilo, A
Grave, A
Incierto, A",
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: lanzado, mudable, grave, irresoluto, prudente, atrevido, cambiante, impreciso, sereno, reflexivo, seguro, incierto, dubitativo, resuelto, indeciso, perplejo, inseguro, tranquilo, aplomado, variable, movedizo, mesurado, imperturbable, vago, confuso, inestable, emprendedor, borroso, valiente, decidido, ponderado, confiado, titubeante, vacilante, indeterminado, inconstante, audaz, cicunspecto, variante, enérgico. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Lanzado, A
Mmutable, B
Grave, A
Irresoluto, B
Prudente, A
Atrevido, B
Cambiante, B
Impreciso, A
Sereno, A
Reflexivo, A
Seguro, A
Incierto, B
Dubitativo, B
Resuelto, A
Indeciso, B
Perplejo, B
Inseguro, B
Tranquilo, A
Aplomado, A
Variable, B
Movedizo, B
Mesurado, A
Imperturbable, A
Vago, B
Confuso, B
Inestable, B
Emprendedor, B
Borroso, A
Valiente, B
Decidido, A
Ponderado, A
Confiado, A
Titubeante, B
Vacilante, B
Indeterminado, B
Inconstante, B
Audaz, B
Circunspecto, A
Variante, B
Enérgico, A",
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: dubitativo, indeciso, tranquilo, ponderado, enérgico, vago, inseguro, movedizo, resuelto, borroso, valiente, irresoluto, seguro, grave, cambiante, variante, inestable, sereno, impreciso, titubeante, inconstante, atrevido, mudable, decidido, lanzado, vacilante, emprendedor, reflexivo, aplomado, confiado, mesurado, audaz, incierto, indeterminado, perplejo, cicunspecto, prudente, imperturbable, variable, confuso. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Dubitativo, B
Indeciso, B
Tranquilo, A
Ponderado, A
Enérgico, B
Vago, B
Inseguro, B
Movedizo, B
Resuelto, A
Borroso, B
Valiente, B
Irresoluto, B
Seguro, A
Grave, A
Cambiante, B
Variante, B
Inestable, B
Sereno, A
Impreciso, B
Titubeante, B
Inconstante, B
Atrevido, B
Muable, B
Decidido, A
Lanzado, B
Vacilante, B
Emprendedor, B
Reflexivo, A
Aplomado, A
Confiado, A
Mesurado, A
Audaz, B
Incierto, B
Indeterminado, B
Perplejo, B
Circunspecto, A
Prudente, A
Imperturbable, A
Variable, B
Confuso, B",
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: decidido, ponderado, audaz, indeterminado, incierto, sereno, valiente, titubeante, borroso, confuso, grave, impreciso, resuelto, vacilante, seguro, movedizo, enérgico, indeciso, inestable, perplejo, variante, prudente, dubitativo, mesurado, atrevido, variable, vago, inseguro, tranquilo, lanzado, imperturbable, cambiante, reflexivo, irresoluto, confiado, mudable, aplomado, cicunspecto, inconstante, emprendedor. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Decidido, A
Ponderado, B
Audaz, A
Indeterminado, B
Incierto, B
Sereno, B
Valiente, A
Titubeante, B
Borroso, B
Confuso, B
Grave, A
Impreciso, B
Resuelto, A
Vacilante, B
Seguro, A
Movedizo, B
Enérgico, A
Indeciso, B
Inestable, B
Perplejo, B
Variante, B
Prudente, B
Dubitativo, B
Mesurado, B
Atrevido, A
Variable, B
Vago, B
Inseguro, B
Tranquilo, B
Lanzado, A
Imperturbable, B
Cambiante, B
Reflexivo, B
Irresoluto, B
Confiado, A
Muable, B
Aplomado, B
Circunspecto, B
Inconstante, B
Emprendedor, A",
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: lanzado, inseguro, indeciso, indeterminado, prudente, vago, incierto, cicunspecto, irresoluto, imperturbable, grave, inconstante, movedizo, cambiante, resuelto, dubitativo, mesurado, tranquilo, impreciso, enérgico, sereno, audaz, seguro, aplomado, atrevido, reflexivo, confiado, decidido, borroso, titubeante, ponderado, vacilante, valiente, inestable, variante, emprendedor, mudable, variable, perplejo, confuso. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Lanzado, B
Inseguro, A
Indeciso, A
Indeterminado, A
Prudente, B
Vago, B
Incierto, A
Circunspecto, B
Irresoluto, A
Imperturbable, B
Grave, B
Inconstante, A
Movedizo, A
Cambiante, A
Resuelto, B
Dubitativo, A
Mesurado, B
Tranquilo, B
Impreciso, A
Enérgico, B
Sereno, B
Audaz, B
Seguro, B
Aplomado, B
Atrevido, B
Reflexivo, B
Confiado, B
Decidido, B
Borroso, A
Titubeante, A
Ponderado, B
Vacilante, A
Valiente, B
Inestable, A
Variante, A
Emprendedor, B
Muable, A
Variable, A
Perplejo, A
Confuso, A",
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vago, vacilante, emprendedor, resuelto, grave, indeterminado, irresoluto, incierto, indeciso, decidido, titubeante, sereno, enérgico, prudente, reflexivo, ponderado, valiente, impreciso, inseguro, tranquilo, audaz, confiado, borroso, dubitativo, mudable, lanzado, imperturbable, aplomado, mesurado, movedizo, cambiante, inestable, cicunspecto, seguro, confuso, perplejo, variable, atrevido, variante, inconstante. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Vago, B
Vacilante, B
Emprendedor, A
Resuelto, A
Grave, A
Indeterminado, B
Irresoluto, B
Incierto, B
Indeciso, B
Decidido, A
Titubeante, B
Sereno, A
Enérgico, A
Prudente, A
Reflexivo, A
Ponderado, A
Valiente, A
Impreciso, B
Inseguro, B
Tranquilo, A
Audaz, A
Confiado, A
Borroso, B
Dubitativo, B
Muable, B
Lanzado, A
Imperturbable, A
Aplomado, A
Mesurado, A
Movedizo, B
Cambiante, B
Inestable, B
Circunspecto, A
Seguro, A
Confuso, B
Perplejo, B
Variable, B
Atrevido, A
Variante, B
Inconstante, B",
