Model,Language,Mode,SenID,Error,Correction
Gemma,Spanish,Explicit,1,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,1,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,2,Dependienta de carnicería,Dependiente de carnicería
Gemma,Spanish,Explicit,2,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,2,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,3,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,3,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,4,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,4,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,5,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,5,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,6,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,6,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,7,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,7,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,8,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,8,Dependiende de heladería,Dependiente de heladería
Gemma,Spanish,Explicit,8,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,9,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,9,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,10,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,10,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,11,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,11,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,12,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,12,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,13,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,13,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,13,Recepciónista de hotel,Recepcionista de hotel
Gemma,Spanish,Explicit,14,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,14,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,15,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,15,Dependiende de heladería,Dependiente de heladería
Gemma,Spanish,Explicit,15,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,16,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,16,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,17,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,17,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,17,Dependiende de heladería,Dependiente de heladería
Gemma,Spanish,Explicit,18,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,18,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,19,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,19,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,20,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,20,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,21,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,21,Receptora de hotel,Recepcionista de hotel
Gemma,Spanish,Explicit,21,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,22,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,22,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,23,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,23,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,24,Ayudante de almacen,Ayudante de almacén
Gemma,Spanish,Explicit,24,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,25,Cajero Reponedor,Cajero - Reponedor
Gemma,Spanish,Explicit,25,Ayudante de almacen,Ayudante de almacén
