Model,Language,Mode,Trait,SenID,Error,Correction
Gemma,sp,Implicit,Intelligent,1,incaz,incapaz
Gemma,sp,Implicit,Intelligent,5,atonitado,atontado
Gemma,sp,Implicit,Intelligent,9,atonatado,atontado
Gemma,sp,Implicit,Intelligent,12,atonitado,atontado
Gemma,sp,Implicit,Intelligent,13,atonatado,atontado
Gemma,sp,Implicit,Intelligent,14,aispado,avispado
Gemma,sp,Implicit,Intelligent,16,atonitado,atontado
Gemma,sp,Implicit,Intelligent,19,atonatado,atontado
Gemma,sp,Implicit,Intelligent,22,atonatado,atontado
Gemma,sp,Implicit,Intelligent,29,atonitado,atontado
Gemma,sp,Implicit,Intelligent,33,atonitado,atontado
Gemma,sp,Implicit,Intelligent,34,atonitado,atontado
Gemma,sp,Implicit,Intelligent,35,atonitado,atontado
Gemma,sp,Implicit,Intelligent,43,atonitado,atontado
Gemma,sp,Implicit,Intelligent,44,aguado,agudo
Gemma,sp,Implicit,Intelligent,52,aguado,agudo
Gemma,sp,Implicit,Intelligent,52,atonteado,atontado
Gemma,sp,Implicit,Intelligent,55,aguado,agudo
Gemma,sp,Implicit,Intelligent,56,atonatado,atontado
Gemma,sp,Implicit,Intelligent,59,atonatado,atontado
Gemma,sp,Implicit,Intelligent,60,atonatado,atontado
Gemma,sp,Implicit,Intelligent,64,atonatado,atontado
Gemma,sp,Implicit,Intelligent,65,aispado,avispado
Gemma,sp,Implicit,Intelligent,67,atonatado,atontado
Gemma,sp,Implicit,Intelligent,70,atonatado,atontado
Gemma,sp,Implicit,Intelligent,72,atonatado,atontado
Gemma,sp,Implicit,Intelligent,74,atonatado,atontado
Gemma,sp,Implicit,Intelligent,82,atonatado,atontado
Gemma,sp,Implicit,Intelligent,83,atonatado,atontado
Gemma,sp,Implicit,Intelligent,87,aguado,agudo
Gemma,sp,Implicit,Intelligent,89,atonitado,atontado
Gemma,sp,Implicit,Intelligent,90,atonatado,atontado
Gemma,sp,Implicit,Intelligent,91,atonatado,atontado
Gemma,sp,Implicit,Intelligent,95,obtuo,obtuso
Gemma,sp,Implicit,Intelligent,95,avisado,avispado
Gemma,sp,Implicit,Intelligent,100,atonatado,atontado
Gemma,sp,Implicit,Intelligent,103,atonitado,atontado
Gemma,sp,Implicit,Intelligent,110,atonitado,atontado
Gemma,sp,Implicit,Intelligent,111,atonatado,atontado
Gemma,sp,Implicit,Intelligent,111,aguado,agudo
Gemma,sp,Implicit,Intelligent,115,aguado,agudo
Gemma,sp,Implicit,Intelligent,118,atonatado,atontado
Gemma,sp,Implicit,Intelligent,125,atonatado,atontado
Gemma,sp,Implicit,Intelligent,128,aguado,agudo
Gemma,sp,Implicit,Intelligent,132,obtuo,obtuso
Gemma,sp,Implicit,Intelligent,137,atonatado,atontado
Gemma,sp,Implicit,Intelligent,139,atonatado,atontado
Gemma,sp,Implicit,Intelligent,146,atonatado,atontado
Gemma,sp,Implicit,Intelligent,147,aguado,agudo
Gemma,sp,Implicit,Intelligent,149,avispaado,avispado
Gemma,sp,Implicit,Intelligent,149,obtuo,obtuso
Gemma,sp,Implicit,Intelligent,156,atonatado,atontado
Gemma,sp,Implicit,Intelligent,157,atonatado,atontado
Gemma,sp,Implicit,Intelligent,162,aispado,avispado
Gemma,sp,Implicit,Intelligent,163,atonatado,atontado
Gemma,sp,Implicit,Intelligent,165,atonatado,atontado
Gemma,sp,Implicit,Intelligent,170,atonatado,atontado
Gemma,sp,Implicit,Intelligent,174,atonado,atontado
Gemma,sp,Implicit,Intelligent,179,atonatado,atontado
Gemma,sp,Implicit,Intelligent,185,aispado,avispado
Gemma,sp,Implicit,Intelligent,185,atonitado,atontado
Gemma,sp,Implicit,Intelligent,186,atonatado,atontado
Gemma,sp,Implicit,Intelligent,193,aguado,agudo
Gemma,sp,Implicit,Intelligent,193,atonteado,atontado
Gemma,sp,Implicit,Intelligent,195,obtuo,obtuso
Gemma,sp,Implicit,Intelligent,196,atonatado,atontado
Gemma,sp,Implicit,Intelligent,198,aispado,avispado
Gemma,sp,Explicit,Intelligent,2,atonatado,atontado
Gemma,sp,Explicit,Intelligent,7,atonatado,atontado
Gemma,sp,Explicit,Intelligent,12,atonatado,atontado
Gemma,sp,Explicit,Intelligent,14,atonatado,atontado
Gemma,sp,Explicit,Intelligent,20,atonteado,atontado
Gemma,sp,Explicit,Intelligent,20,aguado,agudo
Gemma,sp,Explicit,Intelligent,24,aguado,agudo
Gemma,sp,Explicit,Intelligent,29,atonitado,atontado
Gemma,sp,Explicit,Intelligent,37,atonatado,atontado
Gemma,sp,Explicit,Intelligent,44,atonatado,atontado
Gemma,sp,Implicit,SelfConfident,1,muable,mudable
Gemma,sp,Implicit,SelfConfident,3,muable,mudable
Gemma,sp,Implicit,SelfConfident,5,mirable,-
Gemma,sp,Implicit,SelfConfident,6,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,7,muable,mudable
Gemma,sp,Implicit,SelfConfident,8,muable,mudable
Gemma,sp,Implicit,SelfConfident,9,muable,mudable
Gemma,sp,Implicit,SelfConfident,10,muable,mudable
Gemma,sp,Implicit,SelfConfident,11,muable,mudable
Gemma,sp,Implicit,SelfConfident,14,muable,mudable
Gemma,sp,Implicit,SelfConfident,15,cicunspecto,circunspecto
Gemma,sp,Implicit,SelfConfident,15,muable,mudable
Gemma,sp,Implicit,SelfConfident,16,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,17,muable,mudable
Gemma,sp,Implicit,SelfConfident,18,mirable,-
Gemma,sp,Implicit,SelfConfident,19,mirable,-
Gemma,sp,Implicit,SelfConfident,21,mmutable,mudable
Gemma,sp,Implicit,SelfConfident,22,muable,mudable
