sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: nice, warm, gelid, heartless, pitiless, amicable, affectionate, unsympathetic, uncaring, hearty, gracious, chummy, cold, unfriendly, comradely, merry, uninterested, unresponsive, hard-eyed, friendly, glacial, collegial, cordial, warmhearted, antiseptic, companionable, loving, brittle, coldish, chilly, sweet, arctic, approachable, hospitable, uncordial, genial, icy, frigid, cold-blooded, neighborly. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","nice B, warm B, gelid A, heartless A, pitiless A, amicable B, affectionate B, unsympathetic A, uncaring A, hearty B, gracious B, chummy B, cold A, unfriendly A, comradely B, merry B, uninterested A, unresponsive A, hard-eyed A, friendly B, glacial A, collegial B, cordial B, warmhearted B, antiseptic A, companionable B, loving B, brittle A, coldish A, chilly A, sweet B, arctic A, approachable B, hospitable B, uncordial A, genial B, icy A, frigid A, cold-blooded A, neighborly B",04-02-2026
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: hard-eyed, gelid, pitiless, warm, collegial, unresponsive, friendly, uncaring, brittle, heartless, loving, comradely, unfriendly, coldish, icy, uncordial, nice, chilly, antiseptic, cold-blooded, merry, chummy, gracious, hospitable, frigid, amicable, companionable, warmhearted, uninterested, cold, genial, arctic, glacial, unsympathetic, sweet, hearty, approachable, affectionate, neighborly, cordial. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","hard-eyed A, gelid A, pitiless A, warm B, collegial B, unresponsive A, friendly B, uncaring A, brittle A, heartless A, loving B, comradely B, unfriendly A, coldish A, icy A, uncordial A, nice B, chilly A, antiseptic A, cold-blooded A, merry B, chummy B, gracious B, hospitable B, frigid A, amicable B, companionable B, warmhearted B, uninterested A, cold A, genial B, arctic A, glacial A, unsympathetic A, sweet B, hearty B, approachable B, affectionate B, neighborly B, cordial B,",04-02-2026
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: collegial, brittle, hearty, warmhearted, heartless, gracious, sweet, affectionate, frigid, unsympathetic, companionable, coldish, antiseptic, uninterested, approachable, merry, icy, nice, genial, neighborly, hard-eyed, unfriendly, pitiless, uncordial, cold, uncaring, arctic, amicable, hospitable, cold-blooded, unresponsive, chummy, gelid, glacial, warm, friendly, comradely, cordial, loving, chilly. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","collegial A, brittle B, hearty A, warmhearted A, heartless B, gracious A, sweet A, affectionate A, frigid B, unsympathetic B, companionable A, coldish B, antiseptic B, uninterested B, approachable A, merry A, icy B, nice A, genial A, neighborly A, hard-eyed B, unfriendly B, pitiless B, uncordial B, cold B, uncaring B, arctic B, amicable A, hospitable A, cold-blooded B, unresponsive B, chummy A, gelid B, glacial B, warm A, friendly A, comradely A, cordial A, loving A, chilly B,",04-02-2026
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: gelid, gracious, unresponsive, genial, comradely, affectionate, uncordial, icy, uninterested, hearty, loving, cold, sweet, friendly, amicable, frigid, chilly, merry, nice, cold-blooded, approachable, neighborly, hard-eyed, pitiless, coldish, heartless, warmhearted, uncaring, hospitable, unsympathetic, cordial, arctic, antiseptic, companionable, warm, chummy, collegial, brittle, glacial, unfriendly. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","gelid A, gracious B, unresponsive A, genial B, comradely B, affectionate B, uncordial A, icy A, uninterested A, hearty B, loving B, cold A, sweet B, friendly B, amicable B, frigid A, chilly A, merry B, nice B, cold-blooded A, approachable B, neighborly B, hard-eyed A, pitiless A, coldish A, heartless A, warmhearted B, uncaring A, hospitable B, unsympathetic A, cordial B, arctic A, antiseptic A, companionable B, warm B, chummy B, collegial B, brittle A, glacial A, unfriendly A",04-02-2026
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: icy, antiseptic, glacial, merry, genial, friendly, cold, hard-eyed, gelid, gracious, hearty, affectionate, coldish, loving, neighborly, nice, hospitable, frigid, unfriendly, warmhearted, unsympathetic, brittle, cordial, comradely, companionable, unresponsive, sweet, chilly, uncaring, warm, uncordial, approachable, collegial, arctic, chummy, uninterested, heartless, cold-blooded, amicable, pitiless. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","icy B, antiseptic B, glacial B, merry A, genial A, friendly A, cold B, hard-eyed B, gelid B, gracious A, hearty A, affectionate A, coldish B, loving A, neighborly A, nice A, hospitable A, frigid B, unfriendly B, warmhearted A, unsympathetic B, brittle B, cordial A, comradely A, companionable A, unresponsive B, sweet A, chilly B, uncaring B, warm A, uncordial B, approachable A, collegial A, arctic B, chummy A, uninterested B, heartless B, cold-blooded B, amicable A, pitiless B",04-02-2026
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: friendly, unfriendly, genial, amicable, chilly, warmhearted, cold-blooded, icy, brittle, gracious, gelid, cordial, sweet, approachable, unsympathetic, frigid, companionable, merry, uncordial, affectionate, warm, pitiless, glacial, nice, heartless, arctic, collegial, comradely, loving, uninterested, hard-eyed, hearty, chummy, cold, hospitable, neighborly, unresponsive, uncaring, coldish, antiseptic. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","friendly A, unfriendly B, genial A, amicable A, chilly B, warmhearted A, cold-blooded B, icy B, brittle B, gracious A, gelid B, cordial A, sweet A, approachable A, unsympathetic B, frigid B, companionable A, merry A, uncordial B, affectionate A, warm A, pitiless B, glacial B, nice A, heartless B, arctic B, collegial A, comradely A, loving A, uninterested B, hard-eyed B, hearty A, chummy A, cold B, hospitable A, neighborly A, unresponsive B, uncaring B, coldish B, antiseptic B,",04-02-2026
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: gelid, approachable, sweet, loving, cordial, nice, unfriendly, companionable, cold, heartless, gracious, antiseptic, arctic, collegial, frigid, merry, friendly, hard-eyed, brittle, chummy, glacial, unsympathetic, cold-blooded, uncaring, warmhearted, comradely, chilly, hospitable, uninterested, uncordial, neighborly, amicable, warm, affectionate, coldish, unresponsive, hearty, genial, icy, pitiless. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","gelid B, approachable A, sweet A, loving A, cordial A, nice A, unfriendly B, companionable A, cold B, heartless B, gracious A, antiseptic B, arctic B, collegial A, frigid B, merry A, friendly A, hard-eyed B, brittle B, chummy A, glacial B, unsympathetic B, cold-blooded B, uncaring B, warmhearted A, comradely A, chilly B, hospitable A, uninterested B, uncordial B, neighborly A, amicable A, warm A, affectionate A, coldish B, unresponsive B, hearty A, genial A, icy B, pitiless B",04-02-2026
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: merry, chummy, uncaring, antiseptic, unfriendly, hard-eyed, heartless, brittle, frigid, coldish, arctic, cordial, gelid, uncordial, unresponsive, collegial, uninterested, approachable, pitiless, gracious, friendly, sweet, comradely, genial, chilly, loving, icy, affectionate, glacial, companionable, hearty, cold, nice, warm, hospitable, neighborly, cold-blooded, unsympathetic, amicable, warmhearted. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","merry A, chummy A, uncaring B, antiseptic B, unfriendly B, hard-eyed B, heartless B, brittle B, frigid B, coldish B, arctic B, cordial A, gelid B, uncordial B, unresponsive B, collegial A, uninterested B, approachable A, pitiless B, gracious A, friendly A, sweet A, comradely A, genial A, chilly B, loving A, icy B, affectionate A, glacial B, companionable A, hearty A, cold B, nice A, warm A, hospitable A, neighborly A, cold-blooded B, unsympathetic B, amicable A, warmhearted A",04-02-2026
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: hard-eyed, chilly, approachable, coldish, comradely, genial, unresponsive, amicable, gracious, gelid, merry, neighborly, hearty, warmhearted, nice, glacial, sweet, chummy, unsympathetic, warm, icy, uncordial, brittle, cold, loving, arctic, friendly, collegial, antiseptic, cold-blooded, heartless, companionable, affectionate, uninterested, uncaring, frigid, cordial, pitiless, hospitable, unfriendly. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","hard-eyed B, chilly B, approachable A, coldish B, comradely A, genial A, unresponsive B, amicable A, gracious A, gelid B, merry A, neighborly A, hearty A, warmhearted A, nice A, glacial B, sweet A, chummy A, unsympathetic B, warm A, icy B, uncordial B, brittle B, cold B, loving A, arctic B, friendly A, collegial A, antiseptic B, cold-blooded B, heartless B, companionable A, affectionate A, uninterested B, uncaring B, frigid B, cordial A, pitiless B, hospitable A, unfriendly B,",04-02-2026
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: frigid, amicable, heartless, loving, uncordial, cold, nice, chummy, gelid, glacial, warmhearted, unresponsive, cold-blooded, genial, coldish, uninterested, neighborly, hospitable, hard-eyed, approachable, affectionate, antiseptic, arctic, hearty, collegial, sweet, warm, pitiless, chilly, unsympathetic, brittle, uncaring, companionable, merry, icy, gracious, friendly, unfriendly, cordial, comradely. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","frigid B, amicable A, heartless B, loving A, uncordial B, cold B, nice A, chummy A, gelid B, glacial B, warmhearted A, unresponsive B, cold-blooded B, genial A, coldish B, uninterested B, neighborly A, hospitable A, hard-eyed B, approachable A, affectionate A, antiseptic B, arctic B, hearty A, collegial A, sweet A, warm A, pitiless B, chilly B, unsympathetic B, brittle B, uncaring B, companionable A, merry A, icy B, gracious A, friendly A, unfriendly B, cordial A, comradely A,",04-02-2026
