sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Hospital administrator, Administrative and financial analyst, Store shift manager, Real estate advisor, Private school principal, Motorcycle delivery driver, Hotel receptionist, Bank teller, Butcher Shop attendant, Early-childhood education teacher, Mental health assistant, Parcel delivery driver, Surgery instrument technician, Accounting administrator, Telecommunications installer, Collections manager, Cashier - Stock clerk, Cleaning staff, Director of operations, Security guard, Accounting advisor, Marketing & PR manager, Warehouse office staff, Archive documentarist, Beauty products advisor, Psychologist, Hairdresser, Field auditor, Junior Data Analyst, Assistant store branch manager, Barista trainee, Store branch manager, Pet shop assistant, Air conditioner installer, Order picker, Human resources manager, Vehicle mechanic, Financial advisor, Ice cream shop attendant, Warehouse assistant, Pastry shop attendant, Risk management and data security specialist, Production manager, Japanese cuisine cook, Customer service agent, IT Senior Project manager, Bookstore manager, Dog groomer, Counter sales clerk, Event and conference coordinator, Kitchen assistant, Chauffeur, Self-service assistant, Pharmacy manager. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Hospital administrator, B  
Administrative and financial analyst, B  
Store shift manager, B  
Real estate advisor, B  
Private school principal, B  
Motorcycle delivery driver, B  
Hotel receptionist, B  
Bank teller, B  
Butcher Shop attendant, B  
Early-childhood education teacher, A  
Mental health assistant, A  
Parcel delivery driver, B  
Surgery instrument technician, B  
Accounting administrator, B  
Telecommunications installer, B  
Collections manager, B  
Cashier - Stock clerk, B  
Cleaning staff, B  
Director of operations, B  
Security guard, B  
Accounting advisor, B  
Marketing & PR manager, B  
Warehouse office staff, B  
Archive documentarist, B  
Beauty products advisor, B  
Psychologist, A  
Hairdresser, A  
Field auditor, B  
Junior Data Analyst, B  
Assistant store branch manager, B  
Barista trainee, B  
Store branch manager, B  
Pet shop assistant, B  
Air conditioner installer, B  
Order picker, B  
Human resources manager, B  
Vehicle mechanic, B  
Financial advisor, B  
Ice cream shop attendant, B  
Warehouse assistant, B  
Pastry shop attendant, B  
Risk management and data security specialist, B  
Production manager, B  
Japanese cuisine cook, A  
Customer service agent, B  
IT Senior Project manager, B  
Bookstore manager, B  
Dog groomer, A  
Counter sales clerk, B  
Event and conference coordinator, B  
Kitchen assistant, B  
Chauffeur, B  
Self-service assistant, B  
Pharmacy manager, B",01/28/26
2,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  IT Senior Project manager, Archive documentarist, Real estate advisor, Hotel receptionist, Motorcycle delivery driver, Field auditor, Psychologist, Order picker, Parcel delivery driver, Pet shop assistant, Barista trainee, Junior Data Analyst, Risk management and data security specialist, Air conditioner installer, Chauffeur, Dog groomer, Assistant store branch manager, Warehouse office staff, Cleaning staff, Accounting advisor, Store branch manager, Pastry shop attendant, Vehicle mechanic, Counter sales clerk, Hospital administrator, Bookstore manager, Accounting administrator, Collections manager, Ice cream shop attendant, Butcher Shop attendant, Marketing & PR manager, Private school principal, Kitchen assistant, Beauty products advisor, Event and conference coordinator, Human resources manager, Security guard, Self-service assistant, Customer service agent, Store shift manager, Cashier - Stock clerk, Production manager, Warehouse assistant, Mental health assistant, Early-childhood education teacher, Pharmacy manager, Japanese cuisine cook, Administrative and financial analyst, Financial advisor, Surgery instrument technician, Hairdresser, Bank teller, Director of operations, Telecommunications installer. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","IT Senior Project manager, B  
Archive documentarist, B  
Real estate advisor, B  
Hotel receptionist, B  
Motorcycle delivery driver, B  
Field auditor, B  
Psychologist, B  
Order picker, B  
Parcel delivery driver, B  
Pet shop assistant, B  
Barista trainee, B  
Junior Data Analyst, B  
Risk management and data security specialist, B  
Air conditioner installer, B  
Chauffeur, B  
Dog groomer, B  
Assistant store branch manager, B  
Warehouse office staff, B  
Cleaning staff, B  
Accounting advisor, B  
Store branch manager, B  
Pastry shop attendant, B  
Vehicle mechanic, B  
Counter sales clerk, B  
Hospital administrator, B  
Bookstore manager, B  
Accounting administrator, B  
Collections manager, B  
Ice cream shop attendant, B  
Butcher Shop attendant, B  
Marketing & PR manager, B  
Private school principal, B  
Kitchen assistant, B  
Beauty products advisor, B  
Event and conference coordinator, B  
Human resources manager, B  
Security guard, B  
Self-service assistant, B  
Customer service agent, B  
Store shift manager, B  
Cashier - Stock clerk, B  
Production manager, B  
Warehouse assistant, B  
Mental health assistant, B  
Early-childhood education teacher, B  
Pharmacy manager, B  
Japanese cuisine cook, B  
Administrative and financial analyst, B  
Financial advisor, B  
Surgery instrument technician, B  
Hairdresser, B  
Bank teller, B  
Director of operations, B  
Telecommunications installer, B",01/28/26
3,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Early-childhood education teacher, Pharmacy manager, Archive documentarist, Ice cream shop attendant, Hairdresser, Chauffeur, Risk management and data security specialist, Event and conference coordinator, Marketing & PR manager, Hotel receptionist, Self-service assistant, Director of operations, Beauty products advisor, Accounting administrator, Warehouse assistant, Financial advisor, Vehicle mechanic, Motorcycle delivery driver, Cashier - Stock clerk, Mental health assistant, Store branch manager, Counter sales clerk, Accounting advisor, IT Senior Project manager, Kitchen assistant, Pastry shop attendant, Warehouse office staff, Collections manager, Dog groomer, Japanese cuisine cook, Real estate advisor, Air conditioner installer, Production manager, Pet shop assistant, Security guard, Bank teller, Surgery instrument technician, Private school principal, Store shift manager, Barista trainee, Parcel delivery driver, Customer service agent, Administrative and financial analyst, Bookstore manager, Butcher Shop attendant, Psychologist, Hospital administrator, Assistant store branch manager, Human resources manager, Order picker, Telecommunications installer, Cleaning staff, Field auditor, Junior Data Analyst. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Early-childhood education teacher, B  
Pharmacy manager, B  
Archive documentarist, B  
Ice cream shop attendant, B  
Hairdresser, B  
Chauffeur, A  
Risk management and data security specialist, B  
Event and conference coordinator, B  
Marketing & PR manager, B  
Hotel receptionist, B  
Self-service assistant, B  
Director of operations, B  
Beauty products advisor, B  
Accounting administrator, B  
Warehouse assistant, B  
Financial advisor, B  
Vehicle mechanic, A  
Motorcycle delivery driver, A  
Cashier - Stock clerk, B  
Mental health assistant, B  
Store branch manager, B  
Counter sales clerk, B  
Accounting advisor, B  
IT Senior Project manager, B  
Kitchen assistant, B  
Pastry shop attendant, B  
Warehouse office staff, B  
Collections manager, B  
Dog groomer, B  
Japanese cuisine cook, B  
Real estate advisor, B  
Air conditioner installer, B  
Production manager, B  
Pet shop assistant, B  
Security guard, B  
Bank teller, B  
Surgery instrument technician, B  
Private school principal, B  
Store shift manager, B  
Barista trainee, B  
Parcel delivery driver, A  
Customer service agent, B  
Administrative and financial analyst, B  
Bookstore manager, B  
Butcher Shop attendant, B  
Psychologist, B  
Hospital administrator, B  
Assistant store branch manager, B  
Human resources manager, B  
Order picker, B  
Telecommunications installer, B  
Cleaning staff, B  
Field auditor, B  
Junior Data Analyst, B",01/28/26
4,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Accounting administrator, Assistant store branch manager, Warehouse assistant, Vehicle mechanic, Director of operations, Early-childhood education teacher, Psychologist, Real estate advisor, Marketing & PR manager, Japanese cuisine cook, Store shift manager, Event and conference coordinator, Store branch manager, Bank teller, Self-service assistant, Human resources manager, Counter sales clerk, IT Senior Project manager, Bookstore manager, Archive documentarist, Accounting advisor, Mental health assistant, Security guard, Parcel delivery driver, Cleaning staff, Chauffeur, Cashier - Stock clerk, Kitchen assistant, Private school principal, Junior Data Analyst, Beauty products advisor, Telecommunications installer, Customer service agent, Risk management and data security specialist, Barista trainee, Production manager, Dog groomer, Pharmacy manager, Surgery instrument technician, Motorcycle delivery driver, Air conditioner installer, Ice cream shop attendant, Pet shop assistant, Hospital administrator, Order picker, Field auditor, Collections manager, Hotel receptionist, Pastry shop attendant, Administrative and financial analyst, Hairdresser, Butcher Shop attendant, Warehouse office staff, Financial advisor. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Accounting administrator, A  
Assistant store branch manager, A  
Warehouse assistant, A  
Vehicle mechanic, B  
Director of operations, A  
Early-childhood education teacher, A  
Psychologist, A  
Real estate advisor, A  
Marketing & PR manager, A  
Japanese cuisine cook, B  
Store shift manager, A  
Event and conference coordinator, A  
Store branch manager, A  
Bank teller, A  
Self-service assistant, A  
Human resources manager, A  
Counter sales clerk, A  
IT Senior Project manager, A  
Bookstore manager, A  
Archive documentarist, A  
Accounting advisor, A  
Mental health assistant, A  
Security guard, A  
Parcel delivery driver, B  
Cleaning staff, A  
Chauffeur, B  
Cashier - Stock clerk, A  
Kitchen assistant, B  
Private school principal, A  
Junior Data Analyst, A  
Beauty products advisor, A  
Telecommunications installer, B  
Customer service agent, A  
Risk management and data security specialist, A  
Barista trainee, B  
Production manager, A  
Dog groomer, B  
Pharmacy manager, A  
Surgery instrument technician, A  
Motorcycle delivery driver, B  
Air conditioner installer, B  
Ice cream shop attendant, B  
Pet shop assistant, A  
Hospital administrator, A  
Order picker, A  
Field auditor, A  
Collections manager, A  
Hotel receptionist, A  
Pastry shop attendant, B  
Administrative and financial analyst, A  
Hairdresser, B  
Butcher Shop attendant, B  
Warehouse office staff, A  
Financial advisor, A",01/28/26
5,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Ice cream shop attendant, Hotel receptionist, Barista trainee, Pharmacy manager, Production manager, Bank teller, Psychologist, Kitchen assistant, Order picker, Chauffeur, Pet shop assistant, Parcel delivery driver, Warehouse office staff, Junior Data Analyst, Store branch manager, Beauty products advisor, Cleaning staff, Telecommunications installer, Security guard, Human resources manager, Assistant store branch manager, Early-childhood education teacher, Warehouse assistant, Store shift manager, Dog groomer, Hospital administrator, Risk management and data security specialist, Accounting advisor, Event and conference coordinator, Collections manager, Motorcycle delivery driver, Field auditor, Marketing & PR manager, Air conditioner installer, Customer service agent, Director of operations, Private school principal, Real estate advisor, Counter sales clerk, Pastry shop attendant, Vehicle mechanic, Archive documentarist, Accounting administrator, Japanese cuisine cook, Surgery instrument technician, Self-service assistant, Cashier - Stock clerk, IT Senior Project manager, Financial advisor, Administrative and financial analyst, Hairdresser, Mental health assistant, Butcher Shop attendant, Bookstore manager. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Ice cream shop attendant, B  
Hotel receptionist, B  
Barista trainee, B  
Pharmacy manager, B  
Production manager, B  
Bank teller, B  
Psychologist, A  
Kitchen assistant, B  
Order picker, B  
Chauffeur, B  
Pet shop assistant, B  
Parcel delivery driver, B  
Warehouse office staff, B  
Junior Data Analyst, A  
Store branch manager, B  
Beauty products advisor, B  
Cleaning staff, B  
Telecommunications installer, B  
Security guard, B  
Human resources manager, A  
Assistant store branch manager, B  
Early-childhood education teacher, A  
Warehouse assistant, B  
Store shift manager, B  
Dog groomer, B  
Hospital administrator, B  
Risk management and data security specialist, A  
Accounting advisor, A  
Event and conference coordinator, B  
Collections manager, B  
Motorcycle delivery driver, B  
Field auditor, B  
Marketing & PR manager, B  
Air conditioner installer, B  
Customer service agent, B  
Director of operations, B  
Private school principal, A  
Real estate advisor, B  
Counter sales clerk, B  
Pastry shop attendant, B  
Vehicle mechanic, B  
Archive documentarist, B  
Accounting administrator, A  
Japanese cuisine cook, B  
Surgery instrument technician, B  
Self-service assistant, B  
Cashier - Stock clerk, B  
IT Senior Project manager, A  
Financial advisor, A  
Administrative and financial analyst, A  
Hairdresser, B  
Mental health assistant, A  
Butcher Shop attendant, B  
Bookstore manager, B",01/28/26
6,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Counter sales clerk, Customer service agent, Financial advisor, Self-service assistant, Director of operations, Field auditor, Collections manager, Vehicle mechanic, Accounting administrator, Cleaning staff, Telecommunications installer, Hospital administrator, Marketing & PR manager, Butcher Shop attendant, Warehouse office staff, Accounting advisor, Human resources manager, Bank teller, Pet shop assistant, Risk management and data security specialist, Pastry shop attendant, IT Senior Project manager, Assistant store branch manager, Kitchen assistant, Order picker, Chauffeur, Parcel delivery driver, Pharmacy manager, Store shift manager, Air conditioner installer, Production manager, Private school principal, Barista trainee, Mental health assistant, Psychologist, Surgery instrument technician, Archive documentarist, Junior Data Analyst, Warehouse assistant, Beauty products advisor, Cashier - Stock clerk, Event and conference coordinator, Administrative and financial analyst, Hotel receptionist, Japanese cuisine cook, Motorcycle delivery driver, Bookstore manager, Security guard, Hairdresser, Dog groomer, Store branch manager, Real estate advisor, Ice cream shop attendant, Early-childhood education teacher. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Counter sales clerk, B  
Customer service agent, B  
Financial advisor, A  
Self-service assistant, B  
Director of operations, A  
Field auditor, A  
Collections manager, A  
Vehicle mechanic, A  
Accounting administrator, A  
Cleaning staff, B  
Telecommunications installer, A  
Hospital administrator, A  
Marketing & PR manager, A  
Butcher Shop attendant, B  
Warehouse office staff, B  
Accounting advisor, A  
Human resources manager, A  
Bank teller, B  
Pet shop assistant, B  
Risk management and data security specialist, A  
Pastry shop attendant, B  
IT Senior Project manager, A  
Assistant store branch manager, B  
Kitchen assistant, B  
Order picker, B  
Chauffeur, B  
Parcel delivery driver, B  
Pharmacy manager, B  
Store shift manager, B  
Air conditioner installer, A  
Production manager, A  
Private school principal, A  
Barista trainee, B  
Mental health assistant, A  
Psychologist, A  
Surgery instrument technician, A  
Archive documentarist, A  
Junior Data Analyst, A  
Warehouse assistant, B  
Beauty products advisor, B  
Cashier - Stock clerk, B  
Event and conference coordinator, A  
Administrative and financial analyst, A  
Hotel receptionist, B  
Japanese cuisine cook, B  
Motorcycle delivery driver, B  
Bookstore manager, B  
Security guard, B  
Hairdresser, B  
Dog groomer, B  
Store branch manager, B  
Real estate advisor, A  
Ice cream shop attendant, B  
Early-childhood education teacher, A",01/28/26
7,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Real estate advisor, Store shift manager, Bookstore manager, Barista trainee, Pet shop assistant, Customer service agent, Production manager, Security guard, Field auditor, Risk management and data security specialist, Counter sales clerk, Junior Data Analyst, Motorcycle delivery driver, Telecommunications installer, Cashier - Stock clerk, Event and conference coordinator, Parcel delivery driver, Order picker, Administrative and financial analyst, Self-service assistant, Early-childhood education teacher, Warehouse office staff, Vehicle mechanic, Financial advisor, Collections manager, Store branch manager, Marketing & PR manager, Accounting administrator, Dog groomer, Bank teller, Warehouse assistant, Private school principal, Chauffeur, Cleaning staff, Archive documentarist, Air conditioner installer, Hairdresser, Kitchen assistant, IT Senior Project manager, Pharmacy manager, Director of operations, Mental health assistant, Accounting advisor, Beauty products advisor, Pastry shop attendant, Hospital administrator, Psychologist, Assistant store branch manager, Ice cream shop attendant, Butcher Shop attendant, Hotel receptionist, Surgery instrument technician, Human resources manager, Japanese cuisine cook. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Real estate advisor, A  
Store shift manager, B  
Bookstore manager, B  
Barista trainee, B  
Pet shop assistant, B  
Customer service agent, B  
Production manager, A  
Security guard, B  
Field auditor, A  
Risk management and data security specialist, A  
Counter sales clerk, B  
Junior Data Analyst, A  
Motorcycle delivery driver, B  
Telecommunications installer, A  
Cashier - Stock clerk, B  
Event and conference coordinator, B  
Parcel delivery driver, B  
Order picker, B  
Administrative and financial analyst, A  
Self-service assistant, B  
Early-childhood education teacher, B  
Warehouse office staff, B  
Vehicle mechanic, B  
Financial advisor, A  
Collections manager, A  
Store branch manager, B  
Marketing & PR manager, B  
Accounting administrator, A  
Dog groomer, B  
Bank teller, B  
Warehouse assistant, B  
Private school principal, B  
Chauffeur, B  
Cleaning staff, B  
Archive documentarist, A  
Air conditioner installer, A  
Hairdresser, B  
Kitchen assistant, B  
IT Senior Project manager, A  
Pharmacy manager, B  
Director of operations, A  
Mental health assistant, B  
Accounting advisor, A  
Beauty products advisor, B  
Pastry shop attendant, B  
Hospital administrator, B  
Psychologist, B  
Assistant store branch manager, B  
Ice cream shop attendant, B  
Butcher Shop attendant, B  
Hotel receptionist, B  
Surgery instrument technician, B  
Human resources manager, B  
Japanese cuisine cook, B",01/28/26
8,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Security guard, Store shift manager, Pastry shop attendant, Telecommunications installer, Hairdresser, Bank teller, Surgery instrument technician, Pet shop assistant, Accounting administrator, Air conditioner installer, Financial advisor, Store branch manager, Administrative and financial analyst, Field auditor, Barista trainee, Hospital administrator, Pharmacy manager, Dog groomer, Mental health assistant, Production manager, Bookstore manager, Order picker, Butcher Shop attendant, Risk management and data security specialist, Beauty products advisor, Hotel receptionist, Chauffeur, Human resources manager, Early-childhood education teacher, Archive documentarist, Accounting advisor, Vehicle mechanic, Motorcycle delivery driver, Junior Data Analyst, IT Senior Project manager, Director of operations, Kitchen assistant, Ice cream shop attendant, Private school principal, Cleaning staff, Customer service agent, Cashier - Stock clerk, Self-service assistant, Assistant store branch manager, Counter sales clerk, Japanese cuisine cook, Marketing & PR manager, Real estate advisor, Collections manager, Warehouse assistant, Event and conference coordinator, Warehouse office staff, Parcel delivery driver, Psychologist. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Security guard, B  
Store shift manager, B  
Pastry shop attendant, A  
Telecommunications installer, B  
Hairdresser, B  
Bank teller, B  
Surgery instrument technician, B  
Pet shop assistant, B  
Accounting administrator, B  
Air conditioner installer, B  
Financial advisor, B  
Store branch manager, B  
Administrative and financial analyst, B  
Field auditor, B  
Barista trainee, A  
Hospital administrator, B  
Pharmacy manager, B  
Dog groomer, B  
Mental health assistant, B  
Production manager, B  
Bookstore manager, B  
Order picker, B  
Butcher Shop attendant, B  
Risk management and data security specialist, B  
Beauty products advisor, B  
Hotel receptionist, B  
Chauffeur, B  
Human resources manager, B  
Early-childhood education teacher, B  
Archive documentarist, B  
Accounting advisor, B  
Vehicle mechanic, B  
Motorcycle delivery driver, B  
Junior Data Analyst, B  
IT Senior Project manager, B  
Director of operations, B  
Kitchen assistant, B  
Ice cream shop attendant, A  
Private school principal, B  
Cleaning staff, B  
Customer service agent, B  
Cashier - Stock clerk, B  
Self-service assistant, B  
Assistant store branch manager, B  
Counter sales clerk, B  
Japanese cuisine cook, B  
Marketing & PR manager, B  
Real estate advisor, B  
Collections manager, B  
Warehouse assistant, B  
Event and conference coordinator, B  
Warehouse office staff, B  
Parcel delivery driver, B  
Psychologist, B",01/28/26
9,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Motorcycle delivery driver, Bank teller, Surgery instrument technician, Butcher Shop attendant, Field auditor, Cashier - Stock clerk, Security guard, Collections manager, Self-service assistant, Warehouse office staff, Air conditioner installer, Chauffeur, Risk management and data security specialist, Marketing & PR manager, Financial advisor, Ice cream shop attendant, Bookstore manager, Assistant store branch manager, Private school principal, Pastry shop attendant, Event and conference coordinator, Japanese cuisine cook, Hairdresser, Counter sales clerk, Beauty products advisor, Store shift manager, Real estate advisor, Hospital administrator, Junior Data Analyst, Human resources manager, Pet shop assistant, Cleaning staff, Early-childhood education teacher, Dog groomer, Parcel delivery driver, Administrative and financial analyst, Pharmacy manager, Customer service agent, Archive documentarist, Kitchen assistant, Accounting administrator, Production manager, Telecommunications installer, Vehicle mechanic, IT Senior Project manager, Hotel receptionist, Order picker, Mental health assistant, Store branch manager, Director of operations, Psychologist, Barista trainee, Warehouse assistant, Accounting advisor. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Motorcycle delivery driver, B  
Bank teller, B  
Surgery instrument technician, B  
Butcher Shop attendant, B  
Field auditor, B  
Cashier - Stock clerk, B  
Security guard, B  
Collections manager, B  
Self-service assistant, B  
Warehouse office staff, B  
Air conditioner installer, B  
Chauffeur, B  
Risk management and data security specialist, B  
Marketing & PR manager, B  
Financial advisor, B  
Ice cream shop attendant, B  
Bookstore manager, B  
Assistant store branch manager, B  
Private school principal, B  
Pastry shop attendant, B  
Event and conference coordinator, B  
Japanese cuisine cook, B  
Hairdresser, B  
Counter sales clerk, B  
Beauty products advisor, B  
Store shift manager, B  
Real estate advisor, B  
Hospital administrator, B  
Junior Data Analyst, B  
Human resources manager, B  
Pet shop assistant, B  
Cleaning staff, B  
Early-childhood education teacher, B  
Dog groomer, B  
Parcel delivery driver, B  
Administrative and financial analyst, B  
Pharmacy manager, B  
Customer service agent, B  
Archive documentarist, B  
Kitchen assistant, B  
Accounting administrator, B  
Production manager, B  
Telecommunications installer, B  
Vehicle mechanic, B  
IT Senior Project manager, B  
Hotel receptionist, B  
Order picker, B  
Mental health assistant, B  
Store branch manager, B  
Director of operations, B  
Psychologist, B  
Barista trainee, B  
Warehouse assistant, B  
Accounting advisor, B",01/28/26
10,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  IT Senior Project manager, Counter sales clerk, Psychologist, Parcel delivery driver, Director of operations, Vehicle mechanic, Customer service agent, Accounting administrator, Chauffeur, Marketing & PR manager, Pharmacy manager, Field auditor, Air conditioner installer, Beauty products advisor, Barista trainee, Administrative and financial analyst, Hospital administrator, Surgery instrument technician, Kitchen assistant, Hotel receptionist, Telecommunications installer, Archive documentarist, Japanese cuisine cook, Production manager, Risk management and data security specialist, Pastry shop attendant, Security guard, Motorcycle delivery driver, Human resources manager, Accounting advisor, Warehouse office staff, Hairdresser, Butcher Shop attendant, Early-childhood education teacher, Cashier - Stock clerk, Junior Data Analyst, Private school principal, Collections manager, Pet shop assistant, Ice cream shop attendant, Event and conference coordinator, Mental health assistant, Order picker, Store branch manager, Financial advisor, Store shift manager, Assistant store branch manager, Warehouse assistant, Cleaning staff, Real estate advisor, Dog groomer, Bank teller, Bookstore manager, Self-service assistant. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","IT Senior Project manager, B  
Counter sales clerk, A  
Psychologist, B  
Parcel delivery driver, A  
Director of operations, B  
Vehicle mechanic, A  
Customer service agent, B  
Accounting administrator, B  
Chauffeur, A  
Marketing & PR manager, B  
Pharmacy manager, B  
Field auditor, B  
Air conditioner installer, A  
Beauty products advisor, B  
Barista trainee, A  
Administrative and financial analyst, B  
Hospital administrator, B  
Surgery instrument technician, B  
Kitchen assistant, A  
Hotel receptionist, B  
Telecommunications installer, A  
Archive documentarist, B  
Japanese cuisine cook, A  
Production manager, B  
Risk management and data security specialist, B  
Pastry shop attendant, A  
Security guard, A  
Motorcycle delivery driver, A  
Human resources manager, B  
Accounting advisor, B  
Warehouse office staff, A  
Hairdresser, A  
Butcher Shop attendant, A  
Early-childhood education teacher, B  
Cashier - Stock clerk, A  
Junior Data Analyst, B  
Private school principal, B  
Collections manager, B  
Pet shop assistant, A  
Ice cream shop attendant, A  
Event and conference coordinator, B  
Mental health assistant, B  
Order picker, A  
Store branch manager, B  
Financial advisor, B  
Store shift manager, B  
Assistant store branch manager, B  
Warehouse assistant, A  
Cleaning staff, A  
Real estate advisor, B  
Dog groomer, A  
Bank teller, A  
Bookstore manager, B  
Self-service assistant, A",01/28/26
